Language,English,Afrikaans,Amharic,Arabic,Belarusian,Bengali,Bulgarian,Burmese,Catalan,Khmer,Chinese,Croatian,Czech,Danish,Dutch,Estonian,Finnish,French,Georgian,German,Greek,Hausa,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Irish,Italian,Kazakh,Korean,Kurdish,Latvian,Latin,Lithuanian,Macedonian,Malagasy,Malay,Malayalam,Marathi,Norwegian,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sindhi,Sinhala,Spanish,Swahili,Swedish,Tamil,Telugu,Thai,Turkish,Ukrainian,Urdu,Uzbek,Vietnamese
English,1.0,0.7893401583627547,0.5076019704844961,0.8915136124166985,0.669563393089105,0.8210822262901465,0.9011486269006693,0.41503796585842806,0.8530680064760542,0.5016686770525284,0.8321498958515895,0.8981644158356537,0.8836164884239437,0.9077572303905774,0.8878169243547492,0.8814435746852592,0.8874147576106026,0.8407237880781675,0.582190010685436,0.8862650829794263,0.9003867989897565,0.37661321410668663,0.8993820400538549,0.8176346883785852,0.8766176410067397,0.8693332891857537,0.8860215938671739,0.4506065184848655,0.8671659001080954,0.4834637004474647,0.7840473442827866,0.46808532109870543,0.8787071916029245,0.6394538692606997,0.8672570536728132,0.9037411908395658,0.7939758781031414,0.8864450634970393,0.768000336151582,0.7472776322322925,0.9035944907800615,0.8513628579739428,0.8722735690527585,0.9103831297745458,0.9060976461036616,0.8760285736237797,0.8691376826519667,0.3327114553361088,0.7753566407013538,0.9179003823807876,0.7645419803594595,0.9046691311597068,0.620898822737117,0.6889626613454094,0.8509463945459366,0.8045808976147606,0.8771840604008669,0.7573362253902096,0.44892442516816283,0.8675519337392665
Afrikaans,0.7893401583627547,1.0,0.5531691335448052,0.7783757026145359,0.6974689865553882,0.7446259732313864,0.7937610198003925,0.49408294250336765,0.7516001902182061,0.572541895310993,0.7404220684370802,0.7891853639496017,0.7795124403638505,0.8043835542117647,0.8062266686855925,0.7856403881507089,0.7915804561167852,0.7441674363340388,0.6285287738166144,0.7869409124687418,0.7941136283706369,0.4283344642861661,0.7838702764452706,0.7425036277537376,0.7818636859732092,0.7877808930646579,0.7827946412972449,0.5127231613264285,0.7684807428031553,0.5558580140308443,0.7192126684475098,0.5521626025121855,0.782343216661601,0.6507208803692864,0.7719977800757364,0.7872565630497936,0.7301728334807724,0.7870532014770321,0.7335888368178201,0.7033005688511764,0.8034008595400435,0.7635460265827081,0.7752245923609636,0.7873773183976565,0.7923187506516239,0.7754945339174728,0.781001682249242,0.354868328822893,0.7313911330794939,0.7896791048674352,0.6995575595651896,0.8007354379131922,0.6223318263380034,0.6745908751615509,0.7609269973701822,0.7226181680596195,0.7835270600162734,0.7134751638763297,0.5337075240324707,0.7742770198437274
Amharic,0.5076019704844961,0.5531691335448052,1.0,0.5236128805408655,0.5832345745776061,0.5626622352575508,0.5284623850405374,0.6027304976450707,0.512766119756947,0.5952919965612816,0.5324414641488406,0.525047116587579,0.5307661762917999,0.5262298353400223,0.5338546986823927,0.5322162504016614,0.5306113758127469,0.5051528149045132,0.6126612971912667,0.5298713546140532,0.5287995409435664,0.4302830593784713,0.5184962706603766,0.539200739100767,0.5361374405618896,0.536182745254478,0.5240062703446539,0.4617473307091474,0.5189404697553759,0.6070618544139292,0.5483512022263821,0.5501820446322594,0.5341289764107919,0.5482250638486379,0.5300796557255998,0.5312140188921013,0.5463711081941524,0.5278018979976554,0.5790511245340801,0.5602140586223604,0.5247901630181822,0.5561827158729364,0.5276082101664964,0.5196546006175055,0.5222092465318748,0.5324809406279228,0.5392678651621354,0.3957017848806171,0.5705170652666365,0.5227382823639172,0.5528610837130085,0.5256211704588641,0.5707880204108989,0.5725074805443497,0.5359342489297756,0.5257556562438872,0.5360332410292284,0.5481159851264024,0.47330258004421816,0.5334923735087262
Arabic,0.8915136124166985,0.7783757026145359,0.5236128805408655,1.0,0.6785885561794488,0.8158161257357673,0.8992532373736065,0.4371051256783464,0.8328525057499696,0.5230345481374463,0.844291632446309,0.9006215518883012,0.8845952505555398,0.8927555582608834,0.8778166968233455,0.8813058701824029,0.8863367860877787,0.8209637140046729,0.6032729520213541,0.8759727701682146,0.9001754823744963,0.38610043028439117,0.8961152894033115,0.8198885287683857,0.8784112810089449,0.8650694168333414,0.8902773452802053,0.4373126885476272,0.8649079880962769,0.4977610968168041,0.7997592083386202,0.48254136913947193,0.8732049837667462,0.6356718809200999,0.8700423396528179,0.9001755818569462,0.7827053585428323,0.8892525372569453,0.7786092181649454,0.7420880623543153,0.8878176517779685,0.8602290145393975,0.8814908149636425,0.8982386366868912,0.898131654936694,0.8850969146883833,0.8712787100278974,0.3432871156117783,0.7857303429906335,0.9014065153384443,0.7597830398250732,0.891018803247102,0.625878262469796,0.6921362712528021,0.8653302807254037,0.8177056285954641,0.878034300763747,0.7563288329087766,0.44995115973960004,0.8824417002533146
Belarusian,0.669563393089105,0.6974689865553882,0.5832345745776061,0.6785885561794488,1.0,0.6744299661721814,0.6979337480442109,0.5685226106807566,0.6640993823123965,0.6200557976688862,0.6623044236616884,0.6946586705175184,0.6896287606612432,0.6885978706356332,0.6853109234742408,0.6903640841286973,0.6849728771912272,0.6732194458710115,0.6795717382817454,0.6817570456956034,0.6896542408271342,0.4723753520744043,0.6836605682612594,0.6717656011023847,0.6842481544134388,0.689768510940414,0.6857602864957084,0.5728363527400964,0.676677253902056,0.626021342526401,0.6551241748771011,0.630839552871842,0.6992138072181272,0.6566499303503877,0.6969667396999051,0.7008696392258892,0.669647693446387,0.6888082547066229,0.6739016279509165,0.6608536619681127,0.6871410113079857,0.6906395039693045,0.6877600886902041,0.682342751266614,0.6836538382872983,0.703745613325032,0.7082165370868598,0.35370594356307883,0.6755512170758275,0.680374403962491,0.6485687313356285,0.6851988134972948,0.5961725469129839,0.6453782505055621,0.6836098241144704,0.6416894780409119,0.7272140816503575,0.6606887153645351,0.5868340889672466,0.6906557449686717
Bengali,0.8210822262901465,0.7446259732313864,0.5626622352575508,0.8158161257357673,0.6744299661721814,1.0,0.8195839962453972,0.5289819092763967,0.7801839497281469,0.5656447713599885,0.8276813578563013,0.8188723167684663,0.8244360556617392,0.8145957786597404,0.8161570462772851,0.8243417455835439,0.8150922525139802,0.7625891198947471,0.6291036629675327,0.8183125483118713,0.8145740614084676,0.3977938845935521,0.8138691346701096,0.8365621605385912,0.8217075029603796,0.8039115582175377,0.8221541814233889,0.4404779616767926,0.8026956121621631,0.545116476252888,0.8217069885238485,0.5107832999994298,0.8170981883944874,0.6262055318714917,0.8195994329925217,0.8290997899987077,0.7758613507556362,0.8211579539042598,0.8343896105835242,0.7921959684257632,0.8100471715019331,0.8421909031582325,0.813891028543148,0.8176027180474668,0.8182673602899976,0.8234797626809847,0.8026769743301015,0.35365142585096043,0.8299859385312385,0.8187806536031546,0.7391747328913556,0.8144609052101957,0.6782413944923151,0.7364265621900463,0.8177514907591399,0.8151025609495156,0.8208486465624829,0.7822231471199175,0.47116520039214543,0.8190407390594902
Bulgarian,0.9011486269006693,0.7937610198003925,0.5284623850405374,0.8992532373736065,0.6979337480442109,0.8195839962453972,1.0,0.45023597332594917,0.8433411061693729,0.5366008457149125,0.8444190111490599,0.9362194271670414,0.9163502440924185,0.921449044950133,0.9024377764528382,0.9048039401421445,0.9124255697663223,0.8369649050947098,0.610828987041587,0.9037003712272471,0.9210981187405396,0.3894521851487038,0.9160461346630581,0.8171990570878102,0.9050380195651307,0.8848715630488454,0.8955472383487888,0.4385730279792563,0.8821037296568079,0.5138400124898804,0.8053824803822153,0.49224770166753695,0.901971471910696,0.6405936937329887,0.8981533768306292,0.9377512547189093,0.7833153020520836,0.8907028254584637,0.7879888737262374,0.7461187168869354,0.9162915555565176,0.8671143656540358,0.9107653996044189,0.9165134144492804,0.9255120763645013,0.9119066546614017,0.9037973647311042,0.3486273144924206,0.7917173767259673,0.923330998847486,0.7552391172804227,0.9199937121658768,0.6361793453143502,0.6877638492684519,0.8687800025682317,0.8246075737449661,0.9085281908809395,0.7623824839309735,0.4515763373632236,0.8904586173411221
Burmese,0.41503796585842806,0.49408294250336765,0.6027304976450707,0.4371051256783464,0.5685226106807566,0.5289819092763967,0.45023597332594917,1.0,0.43538516203041316,0.7594864391632221,0.46101772522419987,0.4393851495822982,0.45058594749843905,0.447395809343269,0.46092303712184873,0.4491510260677506,0.45026770201458605,0.44372488750107,0.695495995539049,0.46057865206994886,0.44419805327261874,0.4302385336778755,0.4230410618131339,0.4710048566903618,0.459419836217672,0.45752570461095055,0.43962061063784874,0.42668461858084794,0.4429403938937286,0.7081583478040094,0.4878247070999883,0.6319981754969237,0.45655893666470065,0.516860968757421,0.4560216895885908,0.4476874358101166,0.5026386768275785,0.44336024517044204,0.5445630257151465,0.5194192008723336,0.44506367375889033,0.4850722263026195,0.44969439477385026,0.43421592649490826,0.4367788363078896,0.46100702905218843,0.4579823700199579,0.31619208961682577,0.5262543279172067,0.43923379907735316,0.4974454007588478,0.44537169560975065,0.5390286706639054,0.5523970434725234,0.4816257484631676,0.4398371007227154,0.4628942067614087,0.49663741996634614,0.48322980566078644,0.47395784845617234
Catalan,0.8530680064760542,0.7516001902182061,0.512766119756947,0.8328525057499696,0.6640993823123965,0.7801839497281469,0.8433411061693729,0.43538516203041316,1.0,0.5168053753658908,0.7772855387530749,0.8425569915135271,0.8302425922231332,0.8387431189123243,0.824713624000378,0.8295461915577718,0.8301229014775481,0.802672403946811,0.5886221284335995,0.8236984571051393,0.8423442643747115,0.39049362879394955,0.8367380321803763,0.7728346965466142,0.8276993797808163,0.8178103502769126,0.8330636978068688,0.47870679445832454,0.8572854591103859,0.4990901869179657,0.7548224589708026,0.49848829643654197,0.8285364661111864,0.6323425384019393,0.8217380118957758,0.852738222085846,0.7724535370153381,0.8325989575764118,0.7389104306442321,0.7062041447671662,0.8372568734430302,0.8109692712632944,0.8226469966841136,0.852731684045533,0.8475791058385664,0.8220084361910639,0.8208095454394421,0.3282720812292654,0.7462348603758471,0.8684467244382127,0.7225487229411647,0.8384141102067223,0.6019648884613943,0.6682414518814013,0.8104273005516159,0.7623203235504148,0.8308371376381826,0.7240843726307234,0.48449517429086375,0.8236869127620581
Khmer,0.5016686770525284,0.572541895310993,0.5952919965612816,0.5230345481374463,0.6200557976688862,0.5656447713599885,0.5366008457149125,0.7594864391632221,0.5168053753658908,1.0,0.5318184320175863,0.529382649532246,0.5311441979699312,0.5330008077825306,0.5374502224693751,0.5334743859245549,0.5326834610038604,0.5259105177089194,0.6930719612160893,0.5339923020315784,0.5358122935448838,0.4447279918310356,0.520132224790719,0.5435097915719165,0.53747109180333,0.5476224226080418,0.5364753953883998,0.4854552685828959,0.5258893636853386,0.6756458324872068,0.5381898577468246,0.6362123215990849,0.5397125625580885,0.5648617696311785,0.5345337257481733,0.5363449002501562,0.5528893894659598,0.5416834523046211,0.5895577572816922,0.5686095075780616,0.5332271483975635,0.5522686332987246,0.530904674071605,0.52208197503278,0.5272822785894156,0.5384248757870271,0.544564960834825,0.35162130615860077,0.5718082967360135,0.5235199116768788,0.5571181527899307,0.5301843628851707,0.5678631226502281,0.5936312005201752,0.5593389525552971,0.506266467778136,0.5450142801014721,0.5563844784413965,0.5101365632446241,0.5537982730128117
