Language,English,Afrikaans,Amharic,Arabic,Belarusian,Bengali,Bulgarian,Burmese,Catalan,Khmer,Chinese,Croatian,Czech,Danish,Dutch,Estonian,Finnish,French,Georgian,German,Greek,Hausa,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Irish,Italian,Kazakh,Korean,Kurdish,Latvian,Latin,Lithuanian,Macedonian,Malagasy,Malay,Malayalam,Marathi,Norwegian,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sindhi,Sinhala,Spanish,Swahili,Swedish,Tamil,Telugu,Thai,Turkish,Ukrainian,Urdu,Uzbek,Vietnamese
English,1.0,0.808822059679359,0.5339720614219233,0.8936063749652413,0.7098113354245337,0.8724191991774971,0.9102245708619111,0.46215461064326485,0.8713656641316401,0.5144178844286618,0.8825676409713482,0.8979133822260689,0.8998176843178726,0.9159741532869468,0.8881590151698976,0.8978337194561828,0.8967939070369964,0.8648564398551406,0.6244773913686932,0.8900598982672038,0.8917191874430186,0.3661655393441993,0.9010586384150854,0.8463684668433423,0.8853993227917685,0.8706010636798309,0.8995472209435043,0.48204240181010527,0.8733421464493328,0.5171241196149557,0.8224721351440132,0.5048466571943383,0.8933434330024221,0.677017111967849,0.8868374542937066,0.9055461991266165,0.8195455175694059,0.8992147267116577,0.816161245241709,0.8096458578422228,0.9074773320751599,0.8649532435293423,0.8857688756323959,0.9156756768129312,0.9138032187879739,0.8883594661463188,0.8725047987985519,0.3419373692243522,0.8195551929532142,0.923262552603689,0.7521574092611009,0.9138543149090462,0.6300426583962944,0.7503102472332515,0.8548208094975884,0.8504314777268688,0.8864074973814509,0.7946505819698256,0.4896961407894379,0.8706021507021551
Afrikaans,0.808822059679359,1.0,0.5588153696023849,0.7910204524123864,0.7297611074428523,0.7877403451018102,0.801145974283252,0.535211974671991,0.7793489850538784,0.5766184125342586,0.7854652808351597,0.8015269628515217,0.8015817397855948,0.8189325099531455,0.8101727682943367,0.801802603707842,0.8058988268097923,0.7889607619981241,0.6666276974956267,0.8006180644800613,0.7972394267514593,0.4095473204791739,0.7990256865428428,0.7751660674956122,0.793628534442997,0.7978099907491921,0.801557458638081,0.5417043267135182,0.7812364613370671,0.5815602065889925,0.7558013625246897,0.5815254899512152,0.7965157152367293,0.6799287326647978,0.7942715942797249,0.808382969560693,0.7708397344570764,0.8034934639761085,0.772348596539745,0.7534677717615922,0.8193330816643802,0.7844625713594715,0.7944431663657041,0.8021176383130642,0.8026580515465872,0.7936153182054029,0.7980827101907493,0.3600796507610196,0.7712027409364824,0.8023145738077456,0.6935550815970305,0.8173307746817744,0.6186000684824094,0.7238900327279629,0.7767612738314266,0.7662432450632977,0.7992081879639963,0.744860115399718,0.5680726757577103,0.7903238837536688
Amharic,0.5339720614219233,0.5588153696023849,1.0,0.5396274987259965,0.580798067333825,0.5678401460385696,0.5486097926697586,0.5592426539582075,0.5336490575788716,0.5775487006773709,0.5416025701556483,0.5434242767296698,0.5442378550595844,0.5438469263034034,0.5445825708861032,0.5456448479988223,0.5518573561576844,0.5312675693066917,0.6039026594707884,0.5476621215584967,0.5447298917159774,0.462730434104342,0.5400669467914785,0.5577357751064929,0.5497365149497475,0.5500434958575338,0.5439637479665806,0.43693607820098035,0.5352440617057688,0.5609764185558013,0.5416386966039838,0.5267223751697191,0.5508090208395611,0.5397809380723146,0.549701007152668,0.549723756257636,0.543709448246209,0.5479664092657226,0.5828040586670339,0.5635363342843929,0.5441698716161312,0.5625105225571564,0.5449582756927914,0.5410255149189214,0.5387307225912044,0.5446805844482457,0.5548331693023637,0.4704119066274492,0.5715639181816139,0.5417423964648121,0.5619872079712445,0.5451536649069179,0.6109217131199413,0.5756381157240837,0.5438526329841173,0.5408045593296422,0.5509652856473868,0.5823449153709359,0.46695492787618137,0.5506567235272288
Arabic,0.8936063749652413,0.7910204524123864,0.5396274987259965,1.0,0.7171424205171172,0.8501946228566573,0.8952332839160604,0.48108719665298094,0.8387785713835839,0.5335097956291236,0.882489760084333,0.8942408840478797,0.8902159546730948,0.8934103936840149,0.883689363457493,0.8893186050309637,0.8862551398039501,0.8418196651208718,0.6435390730692461,0.8779092774119768,0.8862404949155217,0.3718027789379633,0.8969977024159037,0.8386112225014055,0.8834090072278167,0.8648333798259789,0.8925246131716356,0.467591512590001,0.8614647971013476,0.5338498312560123,0.8400116329769935,0.5178929644025261,0.8798332211617437,0.6716124376408795,0.8774506056055326,0.8949832491989552,0.8046010791450203,0.8866992583794765,0.8157479037707083,0.7924332344951446,0.8883609502127999,0.8737306489526389,0.8897834992083533,0.8949516555656493,0.8950286246530483,0.8937631823780469,0.8701513570162662,0.34624163067331265,0.8204711089297109,0.8979339600362877,0.7402270062328685,0.8936840941678196,0.6270898053542819,0.7433648760593137,0.8715693520556168,0.8573846119227291,0.8810438079952644,0.7873364008486183,0.4830382971631549,0.8783616438228017
Belarusian,0.7098113354245337,0.7297611074428523,0.580798067333825,0.7171424205171172,1.0,0.724462216368142,0.7343296188578163,0.6081685604377913,0.7098128244385512,0.6251609091261185,0.7196546975696709,0.7358998635281812,0.7305311759341377,0.7312410251427559,0.720713275170752,0.7293911959858697,0.7294922406659112,0.704011243171045,0.71687604842172,0.7226951071475962,0.7253311668628257,0.4369157565929843,0.7261166638846407,0.7211378508347795,0.7248489844775267,0.7305122942727742,0.7280669663416774,0.5874052885955091,0.7083595213071991,0.6510202476926743,0.7083619321379249,0.6490168971036177,0.7386851548335518,0.6946590191011304,0.7382966340404146,0.739453583150799,0.7033333935286601,0.7297595800529555,0.7324375391131999,0.716070185407413,0.733260251352122,0.7257949408467881,0.7288995368972209,0.7211189781156285,0.7211332401677188,0.73875582828958,0.7456107243003616,0.35887528461896573,0.7258890900526755,0.7203440911388932,0.6574856103911655,0.7305328916937804,0.6076755588040661,0.6991593898163433,0.7253947260659388,0.7048075806647945,0.7594074361744906,0.6942679754534811,0.5963796991307287,0.7311911941366397
Bengali,0.8724191991774971,0.7877403451018102,0.5678401460385696,0.8501946228566573,0.724462216368142,1.0,0.8541971459344281,0.5547771942141256,0.8246319948526996,0.5756972541350064,0.8520510627573797,0.8514308434210165,0.8544371967724064,0.8546280246422845,0.843019838801132,0.8559902829983804,0.8518618243448084,0.8144568681171175,0.677650990542808,0.8437206612475837,0.8403134381842834,0.39821913933039843,0.8547697513279016,0.8650753094388435,0.8508746319031162,0.8373121626829851,0.8634971692499194,0.4894871662813987,0.8277734007141657,0.567918977148978,0.8272815245891034,0.5484317652737201,0.8544179380006612,0.67541475720193,0.8516560640406374,0.8667722651701888,0.818338209499067,0.8651575982447796,0.8502565379911127,0.8273686942807079,0.8514587881635174,0.8592447147885955,0.8433144957565095,0.8499607089923625,0.8528575496519811,0.8505126164135359,0.8357588549518787,0.3702578810361403,0.8443359247905713,0.8543462360835696,0.748664712482179,0.8545258041473295,0.664051523986389,0.7827463546225537,0.8517891948061707,0.8277643716756252,0.8562073237880664,0.8217932823553766,0.5172269429955723,0.8503704176832233
Bulgarian,0.9102245708619111,0.801145974283252,0.5486097926697586,0.8952332839160604,0.7343296188578163,0.8541971459344281,1.0,0.490322161843183,0.8525091711071282,0.5403186635610379,0.8870097796211158,0.9310206769653635,0.9227262276028984,0.9192596074292912,0.897156519048297,0.9172119480561365,0.9153353477184758,0.857805023718552,0.6514280128951881,0.9026733410625968,0.9039948505135738,0.37508555534139376,0.9078713839898511,0.8351947744826049,0.9091598367899624,0.882471664886114,0.8990536985228352,0.47012076758045446,0.8787983331493069,0.5428257244172802,0.8377120552247618,0.5253130531725152,0.9073992884676173,0.675645180173771,0.9074262686531648,0.9342661190773199,0.8063323482777242,0.8919733408530506,0.8202015785524643,0.794845491459871,0.9152812146506392,0.8748742857371645,0.9102398934287845,0.9139129797447645,0.9243853544326075,0.9174649425483757,0.9041190773256887,0.3521678967748928,0.8269123305793759,0.9174256078162532,0.7390635183562373,0.9188122313756821,0.6310116508516732,0.7394417522184742,0.868928088970163,0.8668467975888778,0.9140700262970836,0.7934826083189109,0.48663090733274555,0.8847061040670756
Burmese,0.46215461064326485,0.535211974671991,0.5592426539582075,0.48108719665298094,0.6081685604377913,0.5547771942141256,0.490322161843183,1.0,0.47940566473567736,0.7374205125964931,0.5043270044028787,0.489619955847314,0.49286533055357623,0.4968807496940071,0.5098698694434267,0.48919299402136834,0.49872613226611173,0.49583276856287467,0.7239845068102388,0.5053387445514743,0.49899466099437995,0.42564966438536017,0.4717633194974805,0.5211623724091388,0.4994806305698637,0.5097094758003358,0.48601599586983546,0.47684144569555736,0.49385398146669607,0.7042718127526281,0.5257367179629876,0.6642863176681777,0.5008302808991377,0.552052871863856,0.5065258453474111,0.49683891673680547,0.5301142637765106,0.48975880501868796,0.5883217027257713,0.5456838413055534,0.4980926487741511,0.5293212043580059,0.5012136475713566,0.4809546829594289,0.48151112466359686,0.5061216628435329,0.5071425889729908,0.3284401759864037,0.5604675510111953,0.48503539540379875,0.4865821802498996,0.4936173127979243,0.5333661555590105,0.5804936314328445,0.5253485511411394,0.4873903426821295,0.508218715803403,0.5411519250528883,0.5187841480380057,0.5237184781201777
Catalan,0.8713656641316401,0.7793489850538784,0.5336490575788716,0.8387785713835839,0.7098128244385512,0.8246319948526996,0.8525091711071282,0.47940566473567736,1.0,0.5247815678725483,0.829881658708206,0.8554432941459004,0.8471257839601938,0.8540565117219914,0.8374454595079525,0.8479202987580998,0.8460127214260676,0.8556131090674987,0.6358342681009431,0.8360948049599094,0.8460674098690454,0.3784242631165723,0.8472043255922778,0.8071060468707404,0.8398355720230103,0.8268492460509862,0.8502033102660128,0.5043944050551111,0.8662608004078823,0.527962313007571,0.7890309491779347,0.5302455634143979,0.8428757988652354,0.6708133455468576,0.8414027648227345,0.8630458110036274,0.7998386238622274,0.8478206110607046,0.7839152367250992,0.7688730855786798,0.8503430414122812,0.826849371979678,0.8387817016142917,0.8711646162734307,0.8644614728777889,0.8393392557662571,0.8353801694902324,0.33565658194198306,0.7887302494465596,0.8842164541481534,0.7181478942532324,0.8531925873458615,0.6038770646083408,0.7242865711787058,0.8201755214340085,0.8137105943155503,0.8462334253665033,0.7578536926380076,0.5381501987302378,0.833251715104432
Khmer,0.5144178844286618,0.5766184125342586,0.5775487006773709,0.5335097956291236,0.6251609091261185,0.5756972541350064,0.5403186635610379,0.7374205125964931,0.5247815678725483,1.0,0.54731916905892,0.5411493679153208,0.5380873552935522,0.546327060069205,0.5457193558892043,0.5413703556433018,0.5501202931843227,0.5355364401412354,0.6958351827030944,0.5444195510870724,0.5462393013228225,0.46224396488144676,0.5350953723329596,0.5659921182036058,0.544381653040992,0.5598739732258211,0.5477523422788885,0.4857189487099783,0.5322088900938969,0.6425164231193115,0.5440115960680705,0.64258308123811,0.546889081157696,0.5670184714713163,0.5502332092379469,0.5484940631603085,0.5479609357995688,0.5527064044890179,0.6119485011973316,0.576119496412347,0.5481533342299744,0.5614114566211922,0.5429995364047998,0.5339498343234008,0.5358653493169807,0.5452573470950104,0.5583817769669482,0.38435962885912234,0.5933471170472897,0.5326114963554126,0.532113351567149,0.5456512670708967,0.57539856986264,0.6096536964082087,0.5667000099441126,0.534683204147311,0.552958255725524,0.5681952205942387,0.5341006666563421,0.5693978499557302
