Language,English,Afrikaans,Amharic,Arabic,Belarusian,Bengali,Bulgarian,Burmese,Catalan,Khmer,Chinese,Croatian,Czech,Danish,Dutch,Estonian,Finnish,French,Georgian,German,Greek,Hausa,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Irish,Italian,Kazakh,Korean,Kurdish,Latvian,Latin,Lithuanian,Macedonian,Malagasy,Malay,Malayalam,Marathi,Norwegian,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sindhi,Sinhala,Spanish,Swahili,Swedish,Tamil,Telugu,Thai,Turkish,Ukrainian,Urdu,Uzbek,Vietnamese
English,1.0,0.7935436779313914,0.5251110131245835,0.8872741766879297,0.6857118848548257,0.8452307630262721,0.8990002034005713,0.44408720788511885,0.8624540198965919,0.5109470979070626,0.8601038183231218,0.8919317668607382,0.884591694990156,0.9055718925490285,0.8832053421801326,0.8806404295570464,0.8870193559830049,0.8517141889956686,0.5883527921051491,0.8898804798818524,0.8888875650992056,0.3816601661716934,0.8928620495501502,0.8320468416896414,0.8760064076443511,0.8667803193773924,0.8894691898128817,0.4615479231747405,0.8696972089896341,0.49847625954466385,0.8153448327669608,0.48081139527448064,0.876421151189313,0.6493549917662897,0.87005053087357,0.8992683002879566,0.7961091539004642,0.8871219776494722,0.786996541302381,0.7801842735462718,0.8997737407854297,0.8533673303025412,0.8776634778405065,0.9103828490592618,0.904130512270012,0.8810175765711277,0.8649862007834948,0.3643736481043229,0.8012818114995405,0.9164899544176561,0.7292598684519664,0.9038268486042674,0.6231366440931094,0.7093955388614833,0.8467968314520767,0.834602685731271,0.8770442611157754,0.7689785299427189,0.4601943678886923,0.8649704922976829
Afrikaans,0.7935436779313914,1.0,0.5670184988528371,0.7796845419809109,0.704487195897584,0.7662228709501085,0.7961738448843859,0.5179177858999352,0.7653442490383915,0.5754976320046589,0.7654799028785355,0.794035648144462,0.7905316682432688,0.8088138389292723,0.8086367112619367,0.7929954036345822,0.7973746364989996,0.7611219397221521,0.6357071798029766,0.79612464499974,0.7905132385518178,0.4271601644575,0.7888941459580235,0.7545746495225694,0.787168476276179,0.7909663856314718,0.7913044502545926,0.5174743525380744,0.7751507263090232,0.5613624340104311,0.7468578250786444,0.5544639800311777,0.7854657777968704,0.6558897542843973,0.7808195531843118,0.7966350917378336,0.7456398727802013,0.79214685557246,0.7505998226271611,0.7255316670842838,0.8088341495534462,0.7738691247425477,0.7841698255583146,0.7926305140675172,0.7948589125838488,0.7844411402898588,0.7874560235242023,0.38164505681322747,0.7551075203714731,0.7946427995352375,0.6740602644216392,0.8075980222302089,0.6203760292433435,0.6889593665034399,0.7676937156363607,0.7456828843524566,0.7892012605595844,0.7224375633799397,0.5278030952471017,0.7814990580976875
Amharic,0.5251110131245835,0.5670184988528371,1.0,0.5404054680147872,0.5950673862939457,0.5738139154282407,0.5484335654032386,0.6090038229335502,0.5330292027554563,0.6142145826170959,0.5449723471506128,0.5436713605518319,0.5493427157402018,0.5424566597999086,0.5473707288236016,0.5479569412573849,0.5489517038453243,0.5257803291643182,0.6307440729057738,0.5462529954452062,0.5448112751546599,0.4591515068191136,0.5375331898300092,0.5558196812810227,0.5522834324332251,0.551339981511929,0.5439026263054563,0.46980070794279544,0.5365818167720245,0.5924126997249928,0.5562428739882009,0.5501031770058477,0.5534278391661397,0.5562640392259062,0.550404741461779,0.5498770509253819,0.5565533304172021,0.5480336993900504,0.5854745006889492,0.5684745694909126,0.5425195034666004,0.5708167585463672,0.5464259141045019,0.5366874820537652,0.5381918928058164,0.5485920903226913,0.5573196699465054,0.43925058473392115,0.5793387953024807,0.5390252649405058,0.5558883089124165,0.5423711264030503,0.5939917565451074,0.5820182305014989,0.551837333362545,0.5408776077472615,0.5548652999335371,0.5798821449125297,0.48193675926296986,0.5499919067060316
Arabic,0.8872741766879297,0.7796845419809109,0.5404054680147872,1.0,0.6948558112204666,0.8349750074079333,0.8949125364379222,0.4655261871016243,0.8388605676047748,0.5326883711997745,0.8643396262465408,0.8957551746049789,0.8849368512984875,0.8908284234354661,0.876138716510683,0.8806541959281269,0.8846907839619452,0.8307841910412421,0.6142684508913153,0.8769610941398336,0.8891208975939868,0.39110720899746615,0.8965253067005295,0.8285375294278032,0.8782295872456564,0.8659507305362188,0.8912731108690803,0.44898985637333044,0.8618686781103181,0.5149308409619375,0.8301587554814351,0.49356688099846235,0.8716498995177953,0.64725934788563,0.8706056441820978,0.8954508881798986,0.7854311783915385,0.8868536217518459,0.7939311324758304,0.767901199045747,0.8862079685528054,0.8647721498750588,0.8855340636042247,0.8939889916348085,0.8937991510717567,0.8879452416130367,0.8687673952839369,0.3727316909565244,0.8089987687131038,0.8961884422988675,0.7249747379529895,0.8903248654408101,0.6275800004104793,0.7077511638985381,0.8646063745425058,0.8464045017348542,0.8773331982423985,0.7660388572886867,0.4578296410801064,0.8763753961477607
Belarusian,0.6857118848548257,0.704487195897584,0.5950673862939457,0.6948558112204666,1.0,0.6984766404985334,0.7125155353823388,0.5863692992524466,0.6858021838380515,0.6215719935079314,0.6908135600707993,0.7116684040946296,0.7083525346133163,0.7045031290854245,0.7003321121310921,0.706808271784474,0.7026838231207845,0.6776274442447997,0.6851083502932076,0.6991775301073636,0.7027907344579662,0.46693816226416385,0.7006310663942689,0.6908480099549652,0.7010597169379287,0.7064916079849116,0.7052383806157744,0.5720217459383431,0.6915989535114601,0.6277260936022399,0.6875724545241921,0.6276899967693349,0.7148924813610964,0.6645297316939505,0.7121838696377455,0.7162757293716044,0.6778770288282613,0.7058646534375883,0.7006484906033786,0.6876146289076372,0.7053313551127507,0.7070314300725098,0.7061575398685612,0.6983600057263997,0.6995491247259609,0.7201046204367473,0.7236410661516784,0.3869813274180541,0.7000171164961092,0.6963773061932751,0.6356769498944286,0.7023304916075115,0.5991926414238106,0.6652648856723599,0.7016356537416065,0.673643240362254,0.7421887589003655,0.67233902578801,0.5739754426987859,0.7080846681458581
Bengali,0.8452307630262721,0.7662228709501085,0.5738139154282407,0.8349750074079333,0.6984766404985334,1.0,0.840719627200804,0.545478921198802,0.8070954023913767,0.5769728019289583,0.8432597288112187,0.8379506375148544,0.8396621696707658,0.83839736425393,0.8314402839636642,0.8419655058379544,0.8380434552282378,0.7915699665923028,0.6444877963429219,0.8370280502135612,0.827695564215265,0.40892488537045096,0.8363643386733607,0.8526917218308121,0.8388242630812838,0.826829828820751,0.8470489419353048,0.4625427391652558,0.8176085401327126,0.5526942992820136,0.8333397689415122,0.5215338789367576,0.8376078362361428,0.6447576109512714,0.8373358091122641,0.8514996828635041,0.7902758289074869,0.8460725207876634,0.8366911247301797,0.8080152703693183,0.8341183069238574,0.8547102367924687,0.8317295365159227,0.8348268040520725,0.8365430995073897,0.8413793868598367,0.8214301414583568,0.3910879226337134,0.8433763429338521,0.8365405738929464,0.7204784715408259,0.8379984785983597,0.6752790084313651,0.7511958320791365,0.8379732047796036,0.8245252997689609,0.8426186468429351,0.7993879683936974,0.48526243432238214,0.8403037655585615
Bulgarian,0.8990002034005713,0.7961738448843859,0.5484335654032386,0.8949125364379222,0.7125155353823388,0.840719627200804,1.0,0.47960091286122225,0.8523729826050516,0.5422637925453673,0.8688875826656547,0.9305448384749981,0.9181266989465291,0.9178171447287051,0.8970511182439577,0.9075307929737089,0.9118132726974615,0.8478355370868271,0.6219820518434387,0.9044792369826986,0.9089745497615066,0.3942150791359954,0.9088649762660042,0.8261509668023718,0.9043295570810886,0.8858632918896254,0.8947542783555588,0.4509627512790475,0.8818786198912199,0.5285822728272487,0.8350908704738984,0.5019958765040123,0.8981183028082089,0.6514108100048556,0.9000265628335448,0.9353083176133439,0.7861148825812566,0.8894814088935614,0.8006814601983301,0.7698999344689412,0.9139511564315188,0.8703508640569962,0.9107053360522832,0.9132963549274935,0.9232031231030521,0.9157801064628794,0.9022205640979418,0.3782714806435825,0.8142872945532194,0.9169514976568083,0.7219492999019158,0.9179088241618907,0.6318004622792238,0.7038771478548572,0.8662394744738968,0.8544501603785402,0.9094994192849748,0.7727880750461528,0.4608632523154695,0.8841582085392145
Burmese,0.44408720788511885,0.5179177858999352,0.6090038229335502,0.4655261871016243,0.5863692992524466,0.545478921198802,0.47960091286122225,1.0,0.46804807738713683,0.7594756727104633,0.48840815098802426,0.4726514133170714,0.48264755759261296,0.479578957343489,0.49166590689255535,0.4786418636578142,0.4805130746822979,0.47416788180637354,0.7155222785238572,0.4888337055009924,0.47807172128677505,0.44777446927491465,0.45609114386328825,0.5003720066059654,0.48777882082016544,0.4897083476141073,0.4746481181245243,0.4566881959127076,0.4748618195557075,0.6959150247772409,0.509972620125641,0.6314090248033009,0.48837479679243206,0.5317145041413776,0.4898246140366165,0.48056471227178094,0.5227247479616414,0.4781693622151017,0.5692011594581888,0.5339890801918677,0.47849077996376727,0.5136893523416145,0.4832003877406575,0.4649501469309876,0.4685387514929436,0.49100410073572476,0.49069140633338254,0.3466724002646103,0.547798969405585,0.4694547727523704,0.49149843897387235,0.47696148610986067,0.5535485657200191,0.5728784652767087,0.5103567978945546,0.4671665319992767,0.4946399448438518,0.5319796087232963,0.49825450228727475,0.5071544885891619
Catalan,0.8624540198965919,0.7653442490383915,0.5330292027554563,0.8388605676047748,0.6858021838380515,0.8070954023913767,0.8523729826050516,0.46804807738713683,1.0,0.5267142226934214,0.8120935463308018,0.8529657195849918,0.8422539082597318,0.8503183410107226,0.837667333315476,0.8397174043305241,0.8411672846129163,0.8276375405673891,0.6027591409722712,0.8370972658901684,0.8462553408443999,0.39507518050762974,0.8435174057925583,0.7934782795856663,0.8370610085159328,0.8275039377014772,0.8455469406475626,0.48039257911824107,0.8614393040906588,0.514300151905132,0.7864979681860648,0.5080230404370749,0.8354455013901604,0.6446895243796108,0.8325596148114934,0.8609673827314979,0.7759767322324195,0.8422828579753747,0.7632290122079963,0.7405814743778133,0.8480251937630264,0.8220261638416797,0.8392270481675077,0.8649374769873359,0.8597890070389087,0.8379106315389196,0.8294917102600665,0.3613524660448033,0.7769177426430389,0.8809083778617746,0.6992542527861741,0.8492038563267442,0.6080483531955639,0.68818035671569,0.8174423166478043,0.7988322048023084,0.8412275413799472,0.7382221109475957,0.4945742151126701,0.8329238716780054
Khmer,0.5109470979070626,0.5754976320046589,0.6142145826170959,0.5326883711997745,0.6215719935079314,0.5769728019289583,0.5422637925453673,0.7594756727104633,0.5267142226934214,1.0,0.5436577961986505,0.5379752452523522,0.5407345844002172,0.5436920734918502,0.545391197389051,0.5415944248219704,0.5440379201089045,0.5329180401787269,0.7034553600214521,0.5430329680266159,0.5436444959593232,0.466628863704015,0.5310497249479679,0.5573901782075578,0.5450509154934563,0.5555593513946774,0.5483682108349212,0.4932609137791758,0.5323200267659692,0.6585652963087626,0.5476462484730139,0.6295046029282758,0.5488001006462901,0.5661981191508932,0.5465601582222244,0.5453086440033329,0.5541569828049286,0.5538568594733739,0.6037034633136716,0.5757695264695575,0.5433739923456272,0.5616793086994265,0.5412370420726031,0.532034244345419,0.5360035795409871,0.5456414803577181,0.5551443693455396,0.38917337496859394,0.5898941620752525,0.5325492372704834,0.5405603295073088,0.5416370738242091,0.5846711107919337,0.6091523560331009,0.5676618566157989,0.5212932906108521,0.5536692462396496,0.5713501858495118,0.5172200067939735,0.5674867068861705
