Language,English,Hebrew,Telugu,Persian,Greek,Hindi,Russian,Romanian,Norwegian,French,Finnish,Chinese,German,Dutch,Portuguese,Croatian,Irish,Sinhala,Swedish,Urdu,Hungarian,Danish,Italian,Tamil,Catalan,Turkish,Arabic,Indonesian,Bengali,Vietnamese,Thai,Kazakh,Polish,Spanish,Ukrainian
English,1.0,0.7775342799867715,0.6252091605548931,0.7555500887765342,0.7926603833635941,0.7272954920329224,0.7808067037408122,0.8049675717121404,0.8010275276170722,0.7513755425096628,0.7815352643787884,0.7462369218871997,0.7823752525838936,0.7850284774302251,0.8068876095246948,0.800608698016744,0.5061500357731302,0.7099408994667946,0.8066853128384074,0.670666128066106,0.775018275634219,0.8112456865254758,0.7772733691856786,0.5281400718321431,0.765818212094421,0.7417020573254433,0.7772829312839775,0.7933390285052715,0.7515726607107377,0.7163268945544236,0.7385133493933094,0.49485555955413124,0.7817008445296613,0.8059797692994485,0.7752914173783897
Hebrew,0.7775342799867715,1.0,0.663924632792184,0.7783454031794063,0.8081976201814426,0.7554025510990439,0.8343254981602275,0.8214796828001109,0.7933952084313333,0.7419307000919036,0.827516938072917,0.8095530972232519,0.7770240491125973,0.7865945473890121,0.8146743550064485,0.8428099689816714,0.452962230341952,0.7667778068722454,0.7966201567185933,0.70787763680798,0.8308280949936078,0.8129156236867615,0.7795993693792992,0.5625688543907433,0.7550985574474794,0.7910496004638706,0.8498336964273371,0.8018117047018387,0.7603452431479344,0.7192199737942029,0.8183017764505832,0.49666483882605483,0.8315931933903571,0.803982731006997,0.8261319066627129
Telugu,0.6252091605548931,0.663924632792184,1.0,0.6616162470927701,0.6370813854827795,0.7006389861005883,0.6550302107336252,0.6396357334584909,0.6209322518427227,0.5985626040570015,0.6365707821754598,0.7064187324887464,0.6083123346324631,0.6276538938631818,0.6280767750646429,0.6481941346297265,0.4869425591622642,0.7488193588750715,0.6214723893942438,0.6996383673348197,0.6559367733093412,0.6281488835031979,0.6108639562232295,0.6555928160103052,0.6151257621581082,0.6629235888781122,0.6724950138587176,0.6298544476877209,0.6861828903071328,0.5959390820600914,0.7108152685927793,0.5476564143809043,0.646245501096445,0.6214159388610887,0.653579011135212
Persian,0.7555500887765342,0.7783454031794063,0.6616162470927701,1.0,0.7733431356077577,0.7653488387578482,0.7868000748503309,0.7791876893268007,0.7561345528191499,0.7194649711416118,0.7729796803132417,0.775719034430051,0.7650521726838927,0.7665693971830908,0.7676585645075722,0.7875673243299102,0.4694523166458458,0.7622170062496899,0.7626547584195588,0.7197702327116647,0.7875832006080604,0.7689066057097567,0.7486667241049892,0.5845104959335953,0.7237114222155114,0.7762570897662804,0.7823384478522657,0.7757164942272042,0.7771784564146591,0.7284261681245687,0.7794185040445751,0.5327390477069622,0.7878646540716968,0.7658832291100962,0.7798840243044773
Greek,0.7926603833635941,0.8081976201814426,0.6370813854827795,0.7733431356077577,1.0,0.7402605611635577,0.8190762409461881,0.8300527022903653,0.7910147148055737,0.7513968463160641,0.8074280693544064,0.7638190605475134,0.790505862670009,0.8030951088654934,0.8214062475550822,0.8318002708281175,0.476986190030394,0.728262273825942,0.7964513640612924,0.6877196031847165,0.8176354146397761,0.807366237947957,0.7924903256882079,0.5392568955257849,0.76651301670577,0.769769701362722,0.8150896067309336,0.7918305188285467,0.7421685926917454,0.7230083969385328,0.7615230251704486,0.517743170511853,0.8264460677065185,0.8200369722736746,0.8058193133609974
Hindi,0.7272954920329224,0.7554025510990439,0.7006389861005883,0.7653488387578482,0.7402605611635577,1.0,0.7733810637090924,0.748060900042734,0.7266691229700306,0.6957403265198326,0.7336955957423072,0.768780291206204,0.7324993704686177,0.7426089013420207,0.7428281952447683,0.7572872176656692,0.4702392801452755,0.769416918975467,0.7347993926727685,0.7355956553777342,0.7545081782850683,0.735128576284887,0.7196966994280928,0.6013834567254215,0.7062909390438541,0.7474365620685597,0.7675031452689668,0.7348560191815732,0.7764293454490021,0.690328571940691,0.7649382824498723,0.5214382431046375,0.7617123409635984,0.735578510797569,0.763104037489923
Russian,0.7808067037408122,0.8343254981602275,0.6550302107336252,0.7868000748503309,0.8190762409461881,0.7733810637090924,1.0,0.8238623613115101,0.7977849494342101,0.7526781196695965,0.8255385793816397,0.8214770932194139,0.8104305866651444,0.8171216870645834,0.817096527728748,0.8588295594953476,0.45769135765586344,0.7615869816910696,0.8077100434283088,0.7070144570279103,0.8383740308462002,0.819994282166362,0.797412865797043,0.5616042596517545,0.760528574514717,0.8009932858261366,0.8356670927383787,0.7993207849182501,0.7709196843338646,0.7257684356065462,0.8087142632083438,0.5200611882112486,0.8694187154248725,0.8130003894307671,0.8733639467575243
Romanian,0.8049675717121404,0.8214796828001109,0.6396357334584909,0.7791876893268007,0.8300527022903653,0.748060900042734,0.8238623613115101,1.0,0.8134161641320288,0.7625508681363777,0.8232171058293456,0.7729984362975552,0.8001360866257733,0.8054897826552485,0.8351463486885138,0.8481888995974161,0.46652045734072467,0.7359580924568987,0.8167864627794538,0.6904982600712501,0.8224778268380573,0.8291157163614221,0.8000066941349112,0.5406078928589962,0.7743497021275758,0.7767560883296674,0.8167222253621295,0.8109567858915138,0.7532137584867455,0.7372184681655602,0.7694044999032651,0.5120392949257948,0.831634323804515,0.8244949687339305,0.8141852374518793
Norwegian,0.8010275276170722,0.7933952084313333,0.6209322518427227,0.7561345528191499,0.7910147148055737,0.7266691229700306,0.7977849494342101,0.8134161641320288,1.0,0.7374944967680408,0.8158856529974965,0.7438235357011497,0.7958938594269018,0.7999052412673596,0.8046291878865067,0.8176150085279463,0.4726226209449367,0.7124701530480708,0.8518361655328385,0.6667995138255701,0.7934824289509941,0.8836525021194783,0.7717365286549458,0.5236537755414936,0.7498907960580423,0.7490330566274968,0.7894854143788764,0.8125423728101154,0.7440053336740782,0.743114676545171,0.7441808234398479,0.5070030527708126,0.801048455518269,0.800865240151624,0.7958582440596554
French,0.7513755425096628,0.7419307000919036,0.5985626040570015,0.7194649711416118,0.7513968463160641,0.6957403265198326,0.7526781196695965,0.7625508681363777,0.7374944967680408,1.0,0.7408275602352793,0.7155343294330138,0.7423089393641307,0.7478197563634265,0.7671343542314559,0.7569024428629391,0.5031018492505297,0.6823186592263863,0.7379624436174718,0.6445797251430662,0.748127306220506,0.7493993532332546,0.7742079862089849,0.5101535943747073,0.7514794663721563,0.7135725917034415,0.7392647979580024,0.7325014829461398,0.7046363806397951,0.6737753685053874,0.7100845157516046,0.4939001877309764,0.7581565592349602,0.7720035340764372,0.7420849432425214
Finnish,0.7815352643787884,0.827516938072917,0.6365707821754598,0.7729796803132417,0.8074280693544064,0.7336955957423072,0.8255385793816397,0.8232171058293456,0.8158856529974965,0.7408275602352793,1.0,0.7824713850262819,0.8061136804149317,0.7952371870944392,0.8165126672759077,0.8356844415285096,0.4536057753525004,0.740209447255736,0.8227779716930047,0.6865228306658508,0.8432415279014813,0.8418987608954057,0.7828913830169805,0.5430279697266448,0.746859857606327,0.7842354811148556,0.8111694435265068,0.8113148098737921,0.7533094200519244,0.7347574903813285,0.7808585078234477,0.51422140884626,0.834886089776928,0.8144315556208914,0.8226294852193515
Chinese,0.7462369218871997,0.8095530972232519,0.7064187324887464,0.775719034430051,0.7638190605475134,0.768780291206204,0.8214770932194139,0.7729984362975552,0.7438235357011497,0.7155343294330138,0.7824713850262819,1.0,0.7465149906651342,0.7596336112380679,0.7748374997101352,0.7992383533136906,0.44181767866763283,0.8170927292212316,0.749414940870894,0.7434288493454076,0.8076732659134971,0.7612723820541831,0.7506593808691044,0.604863405979986,0.7161055602672448,0.8150174947965577,0.8237080911971274,0.7565206148996473,0.7732004078261354,0.6896487166033887,0.8621582005884435,0.5064507618792242,0.806407262969288,0.7663563729145997,0.7920018683726019
