Language Code,Stopwords
en,"besides, from, else, whoever, those, unless, first, alone, quite, less, via, however, almost, thus, with, therefore, afterwards, beyond, toward, might, under, most, off, keep, by, upon, while, among, except, put, make, what, within, take, throughout, nor, two, may, anywhere, without, thereupon, next, call, over, seemed, various, whereafter, who, where, yours, why, something, still, hundred, own, anyone, its, regarding, together, any, no, a, third, former, there, often, please, latterly, must, but, three, around, she, sometime, give, only, bottom, really, whenever, were, many, everywhere, not, had, everything, your, my, will, amount, go, nowhere, meanwhile, of, his, ca, be, everyone, much, whom, thereafter, never, already, should, five, on, seeming, twelve, someone, anyway, whether, wherever, using, fifty, hereby, say, sometimes, do, six, both, another, nothing, below, somewhere, therein, down, towards, can, full, their, them, cannot, during, now, several, just, such, others, too, could, though, yourself, did, thru, and, after, when, four, out, about, least, even, our, him, forty, otherwise, become, has, get, against, perhaps, is, himself, somehow, again, formerly, indeed, i, he, hers, whole, since, or, per, am, themselves, thereby, was, nobody, re, one, beside, hereupon, they, some, have, until, at, also, made, mine, becomes, yourselves, last, above, sixty, ourselves, done, very, before, fifteen, none, whereas, becoming, latter, part, itself, as, eight, whereby, behind, because, namely, eleven, this, are, you, seem, onto, in, her, back, few, into, once, move, always, herein, serious, to, top, show, been, up, amongst, wherein, if, twenty, which, it, thence, whereupon, ten, myself, every, well, we, then, yet, than, these, name, doing, how, for, whatever, each, whence, all, hence, through, moreover, enough, rather, empty, nevertheless, whose, would, me, us, so, here, neither, noone, ever, does, hereafter, due, became, side, mostly, anything, although, anyhow, further, an, ours, other, either, whither, beforehand, used, along, see, herself, being, front, same, that, more, between, seems, nine, across, the, elsewhere"
he,"לעיכן, אחר, פה, שלך, מדי, איפה, בו, אבל, שוב, היתי, תהיה, עם, הנה, אותן, עז, יכולות, אל, אתן, עצמו, אך, להיות, איתנו, אחרת, זאת, איתו, בין, אתכם, ברם, שלכן, איתה, אותם, כולם, בשביל, את, מה, נו, אז, מנין, כך, איתם, בלי, לבין, עצמהן, אצל, אני, ואת, אתה, כל, אם, לאן, עצמם, אולי, אנחנו, שלנו, היא, בגלל, מאד, מכאן, יותר, לא, כיצד, לפני, יכול, עליה, לאו, אותנו, מול, יכולים, היתה, כלל, יש, שלי, עצמי, שלכם, אלה, במקום, מחוץ, הסיבה, יוכלו, שבגללה, באיזו, עליהן, הן, לאיזו, איך, מלבד, אחרות, הם, באמצעות, אין, כזה, לפיכך, זות, כש, תחת, מתי, מי, כאשר, איתכן, אי, במידה, מדוע, עלינו, מעטים, הוא, עצמנו, אותה, גם, לכם, למה, ש, מאין, מבעד, שלהם, מאיפה, לי, למקום, עליהם, בשעה, מן, עליך, מעל, לעבר, מעט, יהיה, איתן, באמצע, או, יכלה, לה, שלה, עצמהם, ככה, איתי, זה, יוכל, מכיוון, אתם, להם, למרות, נגד, מאיזו, כן, למטה, אתכן, ואילו, עלי, תכלית, מתחת, עליכם, יכל, עליו, שלהן, אשר, דרך, שם, כמו, אלו, מקום, אס, מאחורי, על, עצמן, יכולה, עצמה, הרי, אף, היכן, מבלי, להן, איתכם, כאן, לו, סיבה, שבו, איזה, אותו, מצד, אותך, נגר, בתוך, עד, למעלה, יכלו, אחרי, אחרים, מסוגל, כי, כפי, לכן, רק, מהיכן, איתך, כולן, שלו, מידה, של, אותי, היה, לנו"
te,"అందుబాటులో, మధ్య, చుట్టూ, ఒక, ఇప్పటికే, గా, అడగడం, ఏమైనప్పటికి, వద్ద, మాత్రమే, తర్వాత, దాదాపు, అయితే, ప్రక్కన, తగిన, మెచ్చుకో, వేరుగా, ఎవరో, చేయగలిగింది, పై, ఎక్కడైనా, దూరంగా, సంబంధం, అనుమతించు, కాదు, గురించి, నిజంగా, ఎప్పుడు, మరియు, మరొక, వెంట, ప్రకారం, ఒకరు, ఏ, ఎవరైనా, మళ్ళీ, అనుగుణంగా, కూడా, ఉన్నారు, అందరూ, అడగండి, అనుమతిస్తుంది, కనిపిస్తాయి, వ్యతిరేకంగా, ఏదైనా, అడ్డంగా"
fa,"ابتدا, جای, اخیر, نیست, پر, است, به, کنم, کل, تا, کاملا, ناشی, چیز, منظور, طی, گرفته‌است, نیز, حد, جایی, خوبی, طبق, بیان, می‌شوند, کند, جدی, اینجا, مناسب, اند, بار, رشد, چه, سپس, روند, بود, می‌کنم, بیشتر, نیستند, اجرا, باعث, می‌کند, برابر, آنجا, غیر, دسته, سایر, شده‌است, نمی‌شود, می‌کردند, خوب, یافت, کرده‌اند, اما, می‌توانند, طور, می‌گوید, وجود, چهارم, نخستین, مواجه, بروز, همه, شده, خیلی, اکنون, او, رفت, کننده, بوده‌است, ندارد, بخش, دیگر, وقتی, کافی, راه, چهار, دارند, می‌توان, حل, دچار, کسی, ما, مثل, پخش, البته, پس, عهده, امر, نبود, آنکه, یافته, تاکنون, کردن, هایی, کسانی, سمت, مانند, بدون, همچنین, پی, درباره, داده‌است, بیش, ندارند, نباید, مربوط, برخی, خصوص, می‌رود, رسیدن, کم, بعضی, علاوه, برداری, آنها, بیشتری, نیاز, چرا, شان, کرده‌است, آوری, شامل, اش, پیش, باشد, زیر, دارد, روش, داشتند, ممکن, آمده‌است, افرادی, روی, کامل, جز, نظر, محسوب, عین, آنچه, فردی, عالی, تبدیل, هر, سازی, مشخص, همیشه, تمام, قابل, رسید, هم, بودن, عدم, بین, موجب, شمار, جمعی, می‌کرد, داشته‌باشند, متر, شد, هنوز, حالی, می‌دهد, یافته‌است, در, صرف, ترتیب, خاطرنشان, دادن, طول, شاید, می‌یابد, زیاد, می‌تواند, بسیار, کدام, حدود, بودند, یا, آورد, نزدیک, سه, همچنان, و, تحت, تعداد, کنندگان, مدت, داشته‌است, باید, شروع, لذا, بخشی, آمد, کوچک, ساله, گردد, اول, دیگری, می‌آید, یابد, داد, تنها, دانست, دهد, از, دوم, دهند, تغییر, داریم, امکان, خودش, نسبت, همان, شده‌بود, می, علت, بزرگ, افزود, بی, خواهد‌بود, شوند, می‌رسد, هنگام, می‌کنند, بندی, آن, شخصی, زیرا, یکدیگر, پیدا, هیچ, کرده‌بود, تعیین, شدن, آقای, حال, هستند, گاه, داشته, چون, نوعی, ولی, دار, کنند, طرف, باز, بیرون, تهیه, کردند, کنار, حتی, فوق, داشت, خود, می‌کنیم, همچون, بر, شما, متفاوت, خاص, لازم, خویش, فقط, رو, را, کلی, بعد, نحوه, گرفته, بلکه, علیه, دوباره, شش, چنین, همین, دارای, بهترین, دو, نخست, دور, چگونه, گرفت, بهتر, آمده, لحاظ, شود, کنید, یعنی, نوع, باشند, ویژه, می‌شد, بسیاری, اغلب, قبل, بوده, میان, نیمه, سعی, ریزی, خواهد‌شد, کمی, گذاری, پنج, این, مورد, می‌دهند, بنابراین, ساز, فکر, جاری, درون, نه, که, کرد, کرده, نشست, برای, سبب, اولین, ضمن, اثر, سوم, گیرد, حالا, آخرین, وارد, گیری, سال‌های, یکی, آنان, سالهای, یک, من, جدید, حداقل, شدند, دادند, ایشان, چیزی, می‌گیرد, بالا, با, داشته‌باشد, تمامی, کردم, گفته, فرد, هستیم, خطر, روبه, داشتن, جمع, می‌باشد, همواره, سهم, گونه, پشت, جریان, زیادی, شده‌اند, جا, اگر, دیگران, گروهی, سوی, متاسفانه, تو, براساس, افراد, وگو, می‌گویند, گفت, خواهد‌کرد, سی, اینکه, کنیم, وی, زاده, می‌شود, ع, داده, نظیر, سراسر, باره, مهم, آیا, دهه, چند"
el,"εν, κάποιες, κλπ, ίσως, ήττον, ήταν, όποιος, μαζί, κάμποσης, έτερη, όλοι, έτερης, χωρίς, κάπου, αυτόν, τούτη, ταύτος, μονομιάς, τον, είχε, εναντίον, μέχρι, ωσάν, τη, αυτούς, είχαμε, ήμουν, κάμποσα, βεβαιότατα, τόσες, μεσώ, γι, τούτοι, έκαστην, δεξιά, ευθύς, οποίαν, όλου, ήτανε, στον, τούτος, άμα, εκείνην, οτιδήποτε, μερικούς, όλη, ίδιοι, οσαδήποτε, ολότελα, οποίου, αντίπερα, τέτοια, περί, πάλι, κάποτε, αρκετές, σου, στου, επειδή, κυρίως, σαν, όσην, εκείνων, είσαι, άλλην, νωρίς, εγκαίρως, όλως, αμέσως, τόσος, πρώτος, όσων, συνεπώς, ορισμένες, συχνό, απ, ήδη, συχνοί, κτλ, συν, άξαφνα, καθόλου, ιι, έχοντας, της, κάνεν, ώστε, πριν, οποίους, συχνής, οσοσδήποτε, προ, τούς, μπορούν, εμείς, ταύτη, μερικών, υπό, αυτού, πρέπει, πρώτα, τούτα, εκάστους, δίπλα, εκείνη, ύστερα, πιο, έκαστοι, μια, μόνες, εφεξής, ίδιαν, μπορεί, κανέναν, ω, μπρος, ποιό, τέτοιοι, τόσης, διόλου, μόνης, στων, αυτής, είμαστε, εύγε, κάποιοι, μάλιστα, ετούτοι, αντίς, καθεμία, κάμποσου, μου, ετέρου, συχνήν, ίδιοσ, ας, οι, εξήσ, εκτός, έτερον, τέτοιον, άλλες, κάμποση, ως, οποιοδηήποτε, πάντοτε, τρία, ίδιος, μην, άλλα, τις, όλα, λοιπά, κακά, οσησδήποτε, ήμασταν, ίδιους, ποιάν, κάποιο, έχουμε, δικούς, τούτων, εάν, συχνού, βέβαια, των, όλες, άλλους, ποιές, μόνους, ταύτου, εξαιτίας, που, εντωμεταξύ, ανωτέρω, όλο, περίπου, λόγω, ιδίας, συχνών, έγιναν, είστε, ποιών, ξαφνικά, μόνη, έως, τελευταία, κατά, μιαν, οποιανδήποτε, επιπλέον, έχει, αι, δικό, πολλούς, εκείνης, ότου, άλλης, στους, ωσότου, αφού, κακώς, πάντα, έπειτα, πώς, ήμαστε, πλην, κάποιας, οποιοσδήποτε, τρίτη, έχομε, δα, ετούτων, ανάμεσα, κάποιων, αναμεταξύ, οσηδήποτε, ακόμη, μερικά, πιθανόν, τούτης, ταύτην, οπουδήποτε, οποιαδήποτε, ορισμένα, και, μόνων, πόσες, δήθεν, κάμποσων, μας, πέρα, αλλιώτικα, όσα, ποιούς, ποιός, ίσαμε, μία, οποιδήποτε, αν, αφότου, συγχρόνως, αυτήν, μολονότι, εκείνος, όσους, απόψε, όποια, δεν, μεταξύ, πάνω, ετούτη, σε, κανείς, έκαστης, έχουν, έτερο, συχνώς, κάμποσον, μέσα, ετούτες, κανένα, πότε, παντού, οσοδήποτε, τουλάχιστο, οποιουδήποτε, πόσος, οποιουσδήποτε, εκείνον, στα, ολονέν, δια, όσος, λιγότερο, είχαν, κανένας, τόση, όποιο, κάποιον, κάποιους, προς, ταύτες, εκείνοι, όσον, ανά, λοιπόν, έχεις, τόσην, έξαφνα, ετέραι, πρώτη, επάνω, όλην, ειδεμή, κάποιαν, τελικά, τελικώς, προχτές, άλλη, δικά, τόσα, ταύτων, μόνοι, ορισμένων, αυτών, αδιάκοπα, όλης, κιόλας, ετούτος, οποιεσδήποτε, οπότε, πόσην, τούτους, οποιασδήποτε, τάχατε, εκεί, αρχικά, εμπρός, μήπως, αλλοιώς, μήδε, ξανά, μέλει, εκείνους, δε, ίσια, τόσον, πού, την, πάρα, επόμενη, αυτές, εκείνο, έκαστες, εκάστου, ιδία, πέρι, συχνούς, είθε, πόσοι, αρκετά, επί, εαυτό, καμίαν, οσουδήποτε, οποτεδήποτε, εμάς, μιας, έγκαιρα, ορισμένως, πουθενά, ευτυχώς, ετούτου, αυτό, είτε, αυτός, έτερες, χωριστά, άνω, ποιά, προτού, όλων, στης, συχνός, τώρα, μετά, όλος, κάμποσους, σχεδόν, ποτέ, ετούτης, καθένα, οποίο, άλλοτε, εαυτών, καλώς, τέτοιαν, μεν, εκείνες, κάμποσο, ταύτα, μόνου, εσύ, τάχα, τυχόν, εξής, μόνος, μόνην, ένα, ίδια, συχνή, πέρυσι, καθετί, ταύτης, έναν, είχατε, τους, πρώτο, υπόψιν, επομένως, ου, αύριο, όπου, σας, κάπως, εχτές, όπως, ότι, τα, ετούτα, μερικοί, οποίος, συχνάς, ετούτους, πλάι, κατιτί, αυτή, προκειμένου, τόσους, ωχ, όσης, είμαι, έτερους, κάμποσοι, τι, υπ, τοι, πόσους, στο, ετέρας, μήτε, γιατί, μάλλον, όποτε, εις, στην, είχα, του, μερικές, κάμποσος, ακριβώς, καθένας, καθεμίας, πια, εσένα, ήσασταν, να, παρά, μεθαύριο, αυτά, έκαστο, τούτες, οσουσδήποτε, δι, το, τού, έξι, τούτοις, μέσω, εντός, πέρσι, κάποια, μόλις, μεμιάς, στις, ποιού, ετούτον, απέναντι, εκείνα, ιδίως, τέτοιος, τούτου, μετ, διαρκώς, έστω, κάτω, τες, αλλού, οσονδήποτε, αλλιώς, ένας, εκείνου, καμία, τούτο, ενός, άλλο, κοντά, τοσ, όταν, γρήγορα, όλον, τέτοιες, υπέρ, ωστόσο, έκαστη, έκαστα, αλλοιώτικα, έχω, οποιωνδήποτε, εντελώς, εξίσου, τέτοιους, με, καθενός, υπόψη, πρωτύτερα, συχνές, τελευταίος, ταύτοταύτον, τίποτα, λιγάκι, όποιοι, μη, ίδιο, εσείς, πλέον, πολλές, προχθές, είναι, ετούτο, έκανε, τέτοιας, οσοιδήποτε, κάμποσην, όσοι, τούτην, εσάς, τουλάχιστον, αυτοί, τέτοιων, τέτοιο, δικοί, όποιον, ποιόν, ολωσδιόλου, ενώ, ος, άνευ, όμως, τόσοι, μονάχα, τέτοιου, άλλος, έχετε, μόνο, γύρω, πως, κατόπιν, ήσαστε, όλους, όποιες, έτσι, όχι, τίποτε, οσεσδήποτε, ουδέ, καθώς, συνάμα, συχνόν, τάδε, εαυτόν, δικού, άλλων, κανενός, μακρυά, άρα, περισσότερο, όση, αντί, δικός, η, όσο, ναι, οποία, οσηνδήποτε, ετούτην, πόσης, άλλον, οποιονδήποτε, θα, ο, εξ, κάθε, πρόπερσι, οποίες, όσες, ακόμα, πρώτες, είσαστε, εδώ, τόσο, πάντως, δηλαδή, επίσης, οσωνδήποτε, κάποιος, τρεις, δείνα, ιδίου, πολύ, πούθε, οποίων, πίσω, πόση, έτεροι, ιιι, τότε, μακάρι, καλά, σεις, άλλοι, άραγε, τόσου, για, εμένα, ολόγυρα, από, οποίας, ήσουν, πολλοί, κάποιου, ι, ήτοι, έξω, ποιάς, οποίοι, τόσων, εαυτού, κάτι, είχες, έκαστον, κατ, εγώ, ετέρα, όσου, έγινε, ποιοί, μέλλεται, έτερος, τελευταίο, ετέρων, έκαστος, στη, μείον, καμίας, αλλαχού, λίγο, κάμποσες, ίδιων, δίχως, αλλά, πολλά, ίδιον, εαυτούς, μα, ούτε, πρόκειται, ώσπου, τούτον, ίδιες, εκάστων, άμεσα"
hi,"आदि, मगर, इनका, कौन, करता, वाले, होता, बहुत, यहां, सो, ये, नहीं, सबसे, कहते, कोई, तब, इन, इंहें, जैसे, थी, वे, जहां, जिन, फिर, जैसा, इसमें, एक, काफ़ी, पे, इसी, जिन्हों, लिए, इसके, इस, होति, मे, उसे, इसकि, लेकिन, और, बहि, इसका, द्वारा, भी, तिस, हुए, वगेरह, रखें, कहा, कोइ, हुई, इत्यादि, जा, करें, कौनसा, ऱ्वासा, यही, किर, इतयादि, उंहें, गया, दूसरे, दवारा, किसे, दुसरा, थे, अपने, किन्हें, से, सभि, सभी, हि, को, बाद, किसि, ओर, अपनि, बनि, नहिं, हुआ, तिंहें, कइ, काफि, किस, करते, जिधर, कुल, अंदर, यह, एस, अपना, किंहों, हैं, इसकी, तरह, वर्ग, अत, लिये, इन्हों, या, मानो, कोनसा, दबारा, सारा, किया, इंहों, पहले, तक, दिया, पुरा, जिंहों, अदि, वरग, दो, जेसे, अभि, कुछ, जब, अप, यिह, उंहों, जेसा, उसि, ही, भि, सकता, निहायत, वहिं, होना, इन्हीं, उन, आप, अभी, भीतर, जीधर, के, उन्हों, एसे, होती, जो, हो, होते, वहाँ, साबुत, कितना, उसी, ऐसे, साभ, अपनी, करने, कर, जिस, में, निचे, इंहिं, उंहिं, वह, किसी, तिंहों, बिलकुल, किन्हों, उनके, भितर, यदि, की, न, वहीं, उनकि, उस, रहे, है, जितना, तिन, पर, कोन, घर, हें, इसे, उसके, तिसे, यहाँ, इसि, संग, व, उन्हीं, होने, उन्हें, करना, नीचे, किंहें, कई, इन्हें, वुह, उनकी, सकते, कि, उनका, तो, ने, वग़ैरह, तिन्हें, थि, जिन्हें, तिन्हों, हुइ, का, रहा, बाला, जहाँ, यहि, दुसरे, जिसे, ना, रवासा, हुअ, वहां, बही, बनी, एवं, हे, पूरा, था, जिंहें, साथ, उनको"
ru,"будешь, буду, ешь, уже, тобой, этою, будем, могло, чего, этом, едим, наш, тем, своя, моём, нашему, когда, нее, все, таким, весь, моею, них, вам, всей, тому, такая, эта, одною, нашего, имъ, мои, своим, то, собой, кому, того, такого, которой, была, был, быть, своих, или, еще, вся, одном, по, можем, наши, мог, самом, одним, от, ещё, те, томах, кого, самому, у, мое, будете, будь, моги, моим, одни, таком, об, нашею, своем, бы, моё, будьте, одному, нём, которую, их, такою, что, всему, этими, было, комья, при, её, которым, мне, могу, есть, которого, своей, чём, нашем, можете, можешь, нас, моей, котором, и, вы, нет, ее, всю, этих, такое, я, тот, может, до, он, этой, так, моими, ем, неё, одно, саму, тебе, мой, ими, моем, а, всего, своём, свое, тобою, кто, были, ту, тебя, свою, всех, ним, с, ко, не, этому, одну, этого, своими, само, они, нему, себя, вами, только, всё, ею, одна, как, нашим, чтобы, нами, меня, себе, о, один, оно, нашей, которые, который, наша, ними, ты, эту, моего, ком, тою, самого, той, из, да, наших, сама, него, своё, свои, которых, такую, мочь, этот, в, но, едят, чем, могите, вас, такими, самим, оне, кем, могут, собою, самими, своему, нашими, моя, своею, эти, ел, вот, емъ, своего, которая, во, его, такой, одной, ела, нем, им, к, наса, нам, ему, будет, моему, нашу, мою, на, могли, таких, это, свой, ней, этим, которому, такие, которою, будучи, та, для, которое, она, если, одними, мною, тех, всем, мной, моих, которыми, же, всём, ей, сами, том, могла, будут, одних, такому, за, сам, самих, всеми, мы, ест, всею, нею, наше, теми, одного, чему, всея"
ro,"totuși, cît, eu, ceva, spate, niște, tine, sa-mi, ului, astazi, fata, mai, iti, tu, multi, sînteți, adica, ea, săi, unde, aveți, puțin, nu, fost, pentru, zi, nicăieri, totuşi, acestei, ţie, dintre, oricare, pînă, vreme, prima, rog, g, aţi, cu, sub, dă, ne, atare, cărei, fii, sau, putini, acestia, cit, căci, aceeasi, bună, toată, el, ta, vreo, acelea, câte, eşti, caruia, mă, ți, voi, tăi, că, sînt, încotro, ei, j, dar, eram, suntem, undeva, acestea, asemenea, alta, b, şapte, grație, cîți, cînd, fara, sale, mei, câți, h, mi, zero, vostru, inapoi, dintr-, il, a, lîngă, fiți, aveţi, ești, voştri, trei, cîte, cîtva, alaturi, abia, deşi, unii, d, ăştia, acele, îți, doilea, z, degraba, uneia, patrulea, geaba, conform, acei, cele, oriunde, șapte, atitea, aceşti, fi, alt, acelasi, atit, avut, voastră, atatea, de, aceia, cui, până, deja, îmi, nostri, totusi, una, mulţi, pe, voștri, mare, îl, departe, fim, capat, iar, ție, ca, înainte, aici, să, c, cel, tale, ieri, citi, toata, îţi, acela, se, între, nişte, lor, curând, bine, poate, către, tocmai, careia, ala, sai, lui, cât, întrucît, aceste, ele, mele, e, nostru, primul, al, curînd, vi, alea, intr, în, doi, oricând, deasupra, încît, le, p, f, cam, înaintea, x, ii, ati, noroc, altfel, cat, atitia, t, doar, niciodata, după, era, două, asupra, deci, fiţi, dat, sunt, celor, catre, puțina, întrucât, multa, oricine, puțină, cine, dau, patru, zece, mea, tot, oricât, şase, inainte, ceea, numai, este, mie, toate, acesta, acord, apoi, orice, ceilalti, la, u, halbă, sînteţi, aibă, şi, oricît, cinci, nici, caut, ăla, unul, oricînd, vor, cei, i, treia, toţi, r, ăstea, sa-ti, puţina, alături, or, au, unuia, ba, am, ori, sîntem, pic, ce, noștri, alte, cum, acel, avem, ia, mulți, noua, șase, ci, altcineva, multe, m, exact, cita, toti, mulțumesc, unui, unele, meu, dată, mine, sint, l, nevoie, voastre, treilea, parca, asa, aceștia, timp, da, unei, zice, atita, decit, oricum, mulţumesc, fel, unora, atunci, aceştia, altii, citiva, cîţi, pina, si, k, as, ăsta, te, unu, cand, dintr, dinaintea, daca, avea, sa, are, in, cind, cumva, incit, totul, asta, puţină, acolo, patra, aceea, unor, s, știu, fără, aș, noastră, plus, astea, fiecare, mult, din, contra, chiar, ai, ăștia, câtva, aceasta, despre, nimeri, sus, ti, sunteţi, alti, dupa, câţi, spre, pai, acea, acești, mod, nou, și, azi, sintem, fiu, vouă, graţie, ştiu, ați, printr-, drept, intre, isi, această, acest, dacă, bucur, lângă, noştri, cărui, face, ale, altul, așadar, v, atata, foarte, va, nimeni, n, mîine, imi, toți, cea, tuturor, inca, deoarece, acestui, aia, ar, noi, desi, fie, vom, tău, care, niste, altceva, vreun, mâine, său, atat, li, opt, ni, citeva, insa, aşadar, carora, noastre, încât, astfel, atatia, vă, frumos, împotriva, sunteți, deși, prin, uneori, aiurea, pot, ma, acum, nimic, nouă, puţin, o, când, multă, sută, cineva, un, îi, aş, cite, datorită, astăzi, peste, mereu, prea, ţi, ul, anume, ălea, căror"
no,"fortsatt, har, ny, og, blant, kan, hvorfor, der, hva, fem, ett, andre, kommer, millioner, la, kamp, norske, menn, samtidig, mange, men, viktig, ha, land, i, dem, først, kveld, slik, laget, alle, sine, skriver, beste, bris, kort, like, annen, hans, det, må, fotball, september, ja, klart, igjen, tirsdag, folk, blir, by, senere, ta, kroner, både, som, stedet, eller, fjor, ble, mens, prosent, opp, dermed, enn, ønsker, utenfor, mye, langt, at, gi, noe, msci, skulle, gikk, fått, mennesker, seg, regjeringen, med, nok, står, saken, så, meg, da, over, være, lørdag, tror, mannen, ned, hvor, nå, inn, kl, minutter, du, ham, sitt, tyskland, hele, gjort, grunn, sa, satt, her, ifølge, var, mot, sier, en, tatt, mener, om, onsdag, ikke, videre, fra, fire, to, hadde, selv, sett, sted, siste, et, blitt, disse, bare, dette, torsdag, stor, tilbake, mandag, helt, når, alt, tidligere, første, vår, får, få, de, ingen, gjør, norge, ville, tid, neste, ser, drept, jeg, russland, den, usa, samme, for, tre, vant, gjennom, bak, komme, tok, runde, mars, leder, man, skal, før, mål, nye, norsk, viser, politiet, vært, gjorde, på, gå, år, se, hennes, sammen, måtte, kom, kvinner, sverige, president, fram, godt, bli, oss, opplyser, denne, etter, god, fikk, flere, funnet, søndag, ut, rundt, ligger, sin, vi, landet, frankrike, han, oslo, å, gang, av, del, løpet, plass, noen, kunne, ntb, poeng, uten, henne, til, siden, politidistrikt, er, store, veldig, hvordan, gjøre, allerede, ved, svært, mer, kampen, vil, hun, mellom, bedre, and, annet, kontakt, personer, tillegg, går, fredag, seks, også, dag, litt, under"
fr,"quelque, nouveau, doit, eu, avais, malgre, unes, vont, egale, ceci, quant, beau, egales, tel, tenir, auraient, hé, ne, avant, voilà, doivent, pourrait, suffisante, votre, devant, plein, avaient, combien, superpose, dix-huit, sauf, bravo, souvent, nous-mêmes, elles, trop, delà, autrement, comment, vifs, proche, quelles, certain, suit, apres, nombreux, oust, naturel, autre, notre, sept, dans, oh, depuis, outre, particulier, plouf, bien, différente, dire, passé, ils, cher, première, revoilà, tente, treize, fait, aura, etais, quiconque, très, chères, etre, eux, lors, tels, partant, il, notamment, allons, à, parlent, devers, là, permet, olé, ton, hélas, pour, pan, seul, abord, vingt, rares, precisement, et, dix-neuf, aux, douze, mille, de, deja, crac, minimale, maintenant, lesquelles, suivante, certaines, laquelle, toute, vlan, pouvait, divers, absolument, semblable, basee, se, anterieures, ou, tout, eh, on, holà, etaient, différentes, boum, necessairement, ô, quels, pourquoi, revoici, fais, ailleurs, pff, sent, les, dernier, soixante, six, ho, tsouin, septième, différents, elles-mêmes, s', était, donc, cinquantaine, tac, contre, particulièrement, merci, anterieur, lui-même, mais, soit, etait, derrière, certaine, possessif, specifique, jusqu, semblent, faisaient, miens, ah, environ, remarquable, possible, cet, peuvent, dite, memes, quatre-vingt, auxquels, derriere, seront, façon, directement, nous, tres, sous, pfft, j', peut, chiche, importe, debout, vé, pense, tsoin, bah, au, douzième, suivants, néanmoins, quinze, ce, ceux-ci, ci, aucun, suffisant, hue, sans, suivre, parseme, comparables, être, chacune, ces, ouf, soi-même, possessifs, necessaire, té, lesquels, hurrah, rarement, dit, comparable, dessus, l', alors, ouverte, prealable, deuxièmement, si, voici, du, as, surtout, ollé, ceux, hum, sa, lès, cinquante, naturelles, en, étaient, durant, suivant, aurait, huit, ai, derniere, bigre, cinq, celui, soi, quatre, extenso, desormais, sinon, houp, tenant, dehors, hi, cinquième, dring, miennes, avec, leurs, pure, hem, paf, différent, dits, quarante, clic, l’, n', euh, pouah, relative, seule, particulière, d’, étais, moi-même, peu, couic, elle, ça, pendant, beaucoup, parler, gens, près, feront, hormis, rend, nul, vive, neuvième, tiens, quelques, m', ma, aucune, un, désormais, rendre, onze, desquelles, s’, parfois, qu', c’, aie, nôtre, suis, font, tu, retour, toutes, egalement, autrui, maint, t’, ha, via, strictement, ouias, moyennant, étant, vous, malgré, tant, seulement, une, restrictif, sein, siens, juste, suffit, ta, aussi, probante, telle, sont, quand, pourrais, vôtre, diverse, telles, chère, tiennes, qui, diverses, hop, envers, ayant, ore, exactement, vôtres, rien, hors, premier, psitt, ouverts, jusque, ceux-là, quelle, allô, je, reste, zut, toi, specifiques, ainsi, a, tien, neuf, troisième, hep, parle, semble, hou, bas, ont, vers, toi-même, chaque, vous-mêmes, meme, directe, uns, celui-ci, na, j’, fi, toutefois, brrr, dessous, afin, quatorze, semblaient, duquel, mes, unique, laisser, different, m’, maximale, parmi, selon, sera, avons, quanta, pas, par, vu, allo, celles-ci, cela, été, devra, sait, auront, flac, dont, vais, celle, siennes, elle-même, tous, lui, quant-à-soi, naturelle, certains, floc, deuxième, assez, bat, vif, neanmoins, possibles, le, aujourd'hui, dixième, dès, effet, excepté, chez, chacun, anterieure, sienne, aupres, qu’, après, cette, trente, tellement, mince, las, clac, tend, relativement, moi-meme, troisièmement, nôtres, restent, celui-là, quelconque, mien, deux, ouste, pfut, entre, exterieur, chers, moins, cent, vas, la, onzième, ses, auxquelles, sien, cinquantième, son, ait, restant, pif, quoique, puis, i, plutôt, auquel, lorsque, car, mêmes, nos, differents, non, rare, toujours, dix-sept, nombreuses, vives, personne, que, touchant, pur, comme, quoi, da, suivantes, etant, hui, mon, plusieurs, probable, leur, te, est, moindres, quatrièmement, desquels, speculatif, huitième, c', ouvert, plus, concernant, encore, mienne, differentes, uniques, ès, d', cependant, tic, autrefois, sacrebleu, puisque, parce, dix, celle-là, vivat, subtiles, etc, es, pire, tardive, allaient, quel, t', vos, premièrement, seize, celles, eux-mêmes, va, serait, avait, aujourd, dedans, pu, faisant, n’, toc, sur, quatrième, pres, sixième, autres, me, hein, enfin, stop, longtemps, quelqu'un, tienne, des, uniformement, celles-là, ni, lequel, certes, où, seraient, peux, moi, tes, attendu, compris, procedant, o, celle-ci, sapristi, avoir, chut, même, lui-meme, trois, ohé, â"
