Language,English,Afrikaans,Amharic,Arabic,Belarusian,Bengali,Bulgarian,Burmese,Catalan,Khmer,Chinese,Croatian,Czech,Danish,Dutch,Estonian,Finnish,French,Georgian,German,Greek,Hausa,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Irish,Italian,Kazakh,Korean,Kurdish,Latvian,Latin,Lithuanian,Macedonian,Malagasy,Malay,Malayalam,Marathi,Norwegian,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sindhi,Sinhala,Spanish,Swahili,Swedish,Tamil,Telugu,Thai,Turkish,Ukrainian,Urdu,Uzbek,Vietnamese
English,1.0,0.6379936935323777,0.09417930250360405,0.662524893265461,0.5069704612358353,0.4462647254083231,0.6354089939988248,0.09908396234223642,0.6143087707271325,0.10072776078755488,0.7445737220441284,0.6453842614594688,0.6514185897893457,0.6894323405032748,0.7003843529011169,0.620550021458561,0.6833043833288727,0.7517301483300912,0.15031353845084153,0.7162275165497117,0.6159593375474091,0.17996729856923133,0.5619350877278065,0.6067508159879389,0.6426367779527288,0.549523747863792,0.6517514400532698,0.5086790577534868,0.706674363946141,0.2428568997423523,0.6614887970819174,0.2359838489343448,0.5321887589689878,0.4726851667678901,0.5480311671467167,0.6045415717985093,0.19585368758631994,0.6385253201089361,0.3151126395694141,0.38147058504864884,0.6916786758628743,0.5374467559508037,0.6573638867811109,0.7248971401760873,0.6654183290072734,0.6901518976478561,0.6157271902384988,0.23579233138811517,0.17910502662201735,0.7384840614372706,0.5452696608874711,0.7018452456407512,0.28950767307743325,0.24556811349953458,0.560275323254989,0.6229491673652545,0.640106188014948,0.49543589503563984,0.2834867185442583,0.624124067968574
Afrikaans,0.6379936935323777,1.0,0.11028266902828462,0.5503930925002575,0.4779665453189628,0.3994437754259549,0.5427087455716832,0.09530708494196682,0.5363160871049332,0.12338499171734306,0.5732295217784825,0.5550910764345557,0.5542332170301747,0.611909381102075,0.7188951931876523,0.578571924179144,0.5862995822179784,0.6166385821381118,0.16881465303883644,0.6143831606107234,0.5253470555698927,0.21097129395024342,0.48839478756075483,0.5270662336036855,0.5606988518873782,0.5226291838574005,0.5673273844148556,0.48033395477089946,0.5542107558229178,0.25253311417435753,0.57399941447223,0.25799577718845884,0.48460667817337755,0.4244029523336018,0.5103453672617037,0.5410715782200604,0.2613894356293605,0.565518427720373,0.2865796357477736,0.37017883174103416,0.6098407012002758,0.47258194555139976,0.5420151348068805,0.5813969849970836,0.5735300560008293,0.5615951510659382,0.547494452244131,0.25804502225747206,0.19098124467029565,0.5750021338451532,0.5151647592613285,0.6005521908541934,0.2837157747933362,0.22924404507855495,0.4629973029719187,0.5441545096652447,0.5623158903314945,0.4598244049704023,0.2862966427955582,0.5244341116653796
Amharic,0.09417930250360405,0.11028266902828462,1.0,0.09593938819009765,0.09929049246144939,0.13105097464516832,0.08566621679668142,0.22908770205329446,0.06960765710996526,0.14684710486644503,0.07300409460121182,0.07028074809177451,0.05798832796157541,0.07098932148770343,0.08843338933635218,0.08158816412274517,0.06322181780343954,0.06421948384326992,0.18512538824870056,0.08023603660873958,0.09520073157857323,0.21635903236946802,0.11387306236632165,0.09075866207716733,0.08223279963402544,0.0986097871367083,0.09758033115911093,0.09893859964891596,0.06870680527975102,0.14900566856109515,0.09440087287682788,0.22145998751625773,0.09109876877861899,0.11049790321571841,0.09747306101734629,0.10321375112227668,0.1895655571400919,0.09926669481995547,0.1319571482075387,0.13280085451339058,0.07352100832735342,0.10274813670868653,0.054887926529983797,0.056359964808071324,0.09225855867262475,0.045138674493475396,0.0860539082383839,0.15731566708294303,0.18442771602235117,0.060761345434495254,0.16805317242121964,0.06692562881258958,0.13339545526912142,0.14169821133125848,0.07443499853350513,0.10457691768880686,0.06290759972055311,0.10754560791625177,0.14700909237717377,0.06221787313494192
Arabic,0.662524893265461,0.5503930925002575,0.09593938819009765,1.0,0.4362798393682029,0.3977557378709475,0.5765386559412976,0.061365271832525735,0.5564663463919873,0.09018708876170958,0.6434781660223372,0.5644815907314258,0.5481796201540077,0.5785258598350658,0.5861743991986588,0.5470361645850611,0.5840460042143453,0.6710738158721581,0.11499549985718088,0.5769883411192522,0.593063296507908,0.1569986112484406,0.6263007473900071,0.5596062472124305,0.5543092406995669,0.4844773568344517,0.5890830854180668,0.44867890525604,0.6023975341283841,0.22602568111534968,0.5964330725360418,0.24365928183101318,0.4655250740538834,0.3876949483033977,0.47362416875336066,0.5524078682370022,0.18635140995971658,0.5815960206444011,0.2828960113498283,0.3345614416327164,0.5993544718692153,0.5909112840003106,0.5441249369968241,0.6158760204589033,0.595536244893354,0.6047385764943359,0.5615916328753673,0.23519277666740113,0.1377218764084222,0.6426423469749496,0.541936565814992,0.5850395279447685,0.2720982618906648,0.20995253623601162,0.5170158795054178,0.5914546010557553,0.5616903700911753,0.4860804889368895,0.2658217348923874,0.5640354517883921
Belarusian,0.5069704612358353,0.4779665453189628,0.09929049246144939,0.4362798393682029,1.0,0.3943533280008698,0.5541028775631126,0.14855630081324325,0.44134015573871355,0.13619898310559225,0.5010723354569341,0.5219985156511154,0.5452742020129026,0.45785087123159846,0.46405865011378733,0.5031849679884918,0.46938632937731634,0.4769964128543683,0.25069738974373296,0.47285673415240437,0.45071765029578187,0.22391200657263696,0.45416911398869747,0.4605933058807067,0.49026687492662924,0.4250691227605299,0.44730765364786984,0.3998686927374927,0.46754461471824715,0.3853712936151327,0.48574535998865914,0.3046563188987562,0.5306301359193413,0.3760352504235337,0.5804519172479529,0.556109497838801,0.23279253641027273,0.453576443125825,0.2701032893066973,0.36098876200834173,0.45649558244478433,0.4432245159972438,0.5920181845671965,0.45827619565935274,0.5042521972568541,0.6481787460539067,0.540690741391691,0.24437432736894857,0.19000799224721748,0.46213047387270884,0.43339180561752727,0.4614709482875652,0.251291621586643,0.2224253325528242,0.4151687050372277,0.47849560269003905,0.7200212472908749,0.41428066721985746,0.38490543420482204,0.4572687868170118
Bengali,0.4462647254083231,0.3994437754259549,0.13105097464516832,0.3977557378709475,0.3943533280008698,1.0,0.40529177746742423,0.16480128823655163,0.4001777157411793,0.14966127041891975,0.43760730605742243,0.371288096339037,0.3927508752604172,0.3956086898400717,0.38329812173966277,0.40419922010652415,0.40615801184625255,0.41987828628986645,0.2139493785361672,0.3852670653866415,0.3986259399780133,0.19106838794027622,0.4148399516549036,0.5779087129183093,0.4394871952171117,0.4069437811669753,0.4198536993985138,0.4098152377307647,0.3708211437633914,0.27710703707631096,0.4577847611109889,0.2686600467460229,0.3804339816192192,0.3481664373736929,0.3851421900399876,0.39323083978102424,0.22560721025036212,0.4354599671456188,0.41377863172894996,0.4709983055745827,0.3814122884020013,0.42852544764037453,0.38382105592576576,0.3864802445524408,0.39546008129060456,0.40491963619351773,0.3826204022718395,0.2894819591699425,0.24929220418162046,0.3996010085853105,0.39424366017956014,0.4164697390316389,0.36266346448195974,0.3305630291537704,0.44142460361952346,0.43536865273698766,0.40784038791145866,0.5060371532311974,0.31745543838572043,0.4053092678155265
Bulgarian,0.6354089939988248,0.5427087455716832,0.08566621679668142,0.5765386559412976,0.5541028775631126,0.40529177746742423,1.0,0.1023558853528377,0.5900780953219744,0.1187774664158062,0.6064100736082035,0.6858198120383789,0.6423697221380512,0.6175431386504903,0.5623749302160791,0.6066434114643826,0.587402093098022,0.593585554085078,0.19932389111245066,0.5883893937917141,0.6170835351833343,0.16658421829990866,0.5423599004681051,0.5230478113440746,0.5864604139253216,0.5071173665606628,0.5500288263155819,0.423463094771775,0.5900594521359023,0.2940834937910463,0.5529709084274431,0.2691720973510623,0.5862587191333148,0.4201627742190148,0.579513148362299,0.7773089816066875,0.1937088686609281,0.5470613107460559,0.2816733103417524,0.3608804211033913,0.5971377427198136,0.5041606531156261,0.6210850893847756,0.5930418629891774,0.6689464591945247,0.6851142692953529,0.7041731884163434,0.21610957471472106,0.1687220286947892,0.6106351656929222,0.48534908918543257,0.6165181464072069,0.2681582791285456,0.20898889914498656,0.49275994770186826,0.5831226978738803,0.6657610343215913,0.4234601658697823,0.3310973685135538,0.5339299774310049
Burmese,0.09908396234223642,0.09530708494196682,0.22908770205329446,0.061365271832525735,0.14855630081324325,0.16480128823655163,0.1023558853528377,1.0,0.09398477290313366,0.28046483579010634,0.11960999882185197,0.06368821719194812,0.08758911952353389,0.08147550262768595,0.08291486749219591,0.08641023893424686,0.0806647723653361,0.07496015821139816,0.19857580117642212,0.09461190499613337,0.0813360651292181,0.19337405783645578,0.07987208159044702,0.1053351374016793,0.10230943636478491,0.11098586190288148,0.10693389456975767,0.11706115692239019,0.07219859396616794,0.18341461315987678,0.12325638267113267,0.20260732951206775,0.12670550626524055,0.09283202797146682,0.10639136572275948,0.10272047503152919,0.1748550524394599,0.12521691920056624,0.15595602216023374,0.13945731638621672,0.07235696013162106,0.09729478794556816,0.08651071416896743,0.05021277171947131,0.08773396681058288,0.08283757880718272,0.07491882896406779,0.15675417571839706,0.2159269965864003,0.07662675048596818,0.12316087914699793,0.09659948796123827,0.14409857884265542,0.13372588371874083,0.14940140561943593,0.11001900959608925,0.10443856151924427,0.1196822644873811,0.17341799727112128,0.1260649107636792
Catalan,0.6143087707271325,0.5363160871049332,0.06960765710996526,0.5564663463919873,0.44134015573871355,0.4001777157411793,0.5900780953219744,0.09398477290313366,1.0,0.11069393037811705,0.5909145200526019,0.5528318976655774,0.556377881683052,0.5699542851300984,0.5558973267207389,0.5377500890920424,0.5761215776923239,0.6335097335425807,0.13948054637600116,0.5423386331674362,0.5667144058413073,0.17552918932916908,0.4939597530659507,0.5010114399301938,0.5797882472090724,0.5145235815520968,0.5188055552669675,0.4696874888713366,0.630592940343197,0.2440157065133828,0.5240248624489264,0.25552137822166787,0.5003488725601479,0.4450986507772486,0.48181161840495795,0.5593568717564814,0.21758090282254183,0.523346666626117,0.29345033953228417,0.3495043029470451,0.5621787200326309,0.46551362095248694,0.5344511713852775,0.6225697277775534,0.6129670973083037,0.5414663663228078,0.5429450883535251,0.20826967621752723,0.1510584264223379,0.7447492274853413,0.4868296551681722,0.6086818893350373,0.2825545840392835,0.21203086926519105,0.4760653655584724,0.5480065094965453,0.5152255506794206,0.40506434240055084,0.27485234638816797,0.5285006267902549
Khmer,0.10072776078755488,0.12338499171734306,0.14684710486644503,0.09018708876170958,0.13619898310559225,0.14966127041891975,0.1187774664158062,0.28046483579010634,0.11069393037811705,1.0,0.12067411979485125,0.08472160958581053,0.12015423546675116,0.09321715267602991,0.09829296844265577,0.09050918103230142,0.07323065010497022,0.10592373945920533,0.19984658313189096,0.08330832015338553,0.1006388363723277,0.1415745306489944,0.09178252102509651,0.11971633935639778,0.11148532351790746,0.11665042364033501,0.11370165590286539,0.1098519976013462,0.07340268765328258,0.1522901903697921,0.1222401090644076,0.155451617988636,0.13431851781662044,0.09805791969408031,0.1150920069811531,0.11987243339361889,0.18914047263515527,0.12470173195421362,0.1394292968145343,0.14155925013975892,0.09033915101096468,0.11668872722296854,0.09089672524379237,0.06864207404834839,0.11066043971563351,0.09921272794341159,0.09509798853548566,0.1495401710848862,0.17242028036196697,0.08307806566162582,0.12492766473941515,0.07578604982634558,0.1391345580013063,0.10956772114998067,0.16296396579678216,0.09810889120074236,0.11240065775984888,0.1270085307580494,0.14739096952170383,0.16506316401675875
