Language Code,Stopwords
en,"during, thus, often, can, everything, almost, thereafter, sometimes, latter, nor, front, wherein, about, itself, neither, him, around, a, call, was, our, you, hers, become, so, twelve, that, anyhow, anything, whose, their, off, eleven, is, former, every, somehow, twenty, bottom, anyway, becomes, really, well, by, more, each, when, therein, without, against, who, elsewhere, on, back, get, rather, used, first, nothing, must, too, us, fifteen, from, himself, beside, besides, amongst, how, whence, for, make, next, amount, no, therefore, them, behind, mostly, into, of, unless, becoming, or, go, please, where, namely, least, six, out, yourself, cannot, hereupon, across, while, whether, latterly, became, which, someone, other, whole, seeming, hundred, mine, has, until, both, am, myself, anyone, forty, though, whenever, she, nevertheless, something, nine, whereafter, anywhere, never, whither, should, full, same, we, did, together, keep, upon, take, your, an, with, beyond, his, say, formerly, me, whom, part, through, sixty, eight, throughout, once, otherwise, else, per, thereupon, here, ours, between, because, over, indeed, within, towards, various, might, somewhere, either, were, side, among, wherever, due, beforehand, there, all, not, toward, just, further, hereafter, everywhere, afterwards, always, do, seemed, hence, move, may, moreover, using, before, below, does, herself, none, above, at, done, very, although, made, third, empty, as, thru, several, name, alone, been, enough, one, whereby, few, if, regarding, i, and, some, meanwhile, will, what, except, the, much, to, than, re, top, whereas, ever, be, such, yourselves, along, give, under, perhaps, only, another, however, less, even, again, see, many, why, put, her, up, noone, quite, being, still, onto, but, are, show, whoever, have, others, its, yours, after, three, whereupon, fifty, last, also, my, now, it, two, thence, then, seem, five, could, doing, down, those, he, nobody, sometime, they, would, own, these, four, thereby, hereby, ca, nowhere, already, serious, any, whatever, everyone, had, most, themselves, herein, via, yet, ten, seems, since, this, in, ourselves"
he,"איתן, מעט, מן, בגלל, למעלה, של, אתה, מתי, פה, הרי, מעל, על, עצמו, שלכן, לי, אבל, לכן, יכולים, אותו, מדוע, אתכם, בתוך, למטה, כולן, לבין, ואילו, להם, שבגללה, אין, עצמהן, שלהם, כמו, להן, מכאן, אחר, עד, היתה, בין, כאן, מאד, שלנו, לה, הם, איתך, איתם, מסוגל, את, אצל, עצמנו, שבו, אז, גם, רק, למה, אלה, אולי, כן, שלה, אלו, איזה, בשעה, לאו, שוב, זה, מעטים, יוכלו, הן, נו, זות, אם, אותנו, ואת, אתם, בשביל, אף, איך, לאיזו, עצמהם, לפיכך, מאיפה, לנו, מאחורי, מה, מידה, אותן, לכם, זאת, איתי, אחרים, כל, נגד, מי, לעבר, אתן, למרות, מול, כולם, מהיכן, יהיה, עליהן, שלי, עליך, באמצעות, מחוץ, מבעד, איתכן, שלכם, אותי, עצמן, שלהן, מאיזו, היתי, אנחנו, בלי, לא, לפני, תחת, ש, בו, ברם, כזה, יש, אותה, שם, לו, היא, יכולות, לאן, כך, שלו, יכלה, הנה, עצמי, מדי, אותך, אך, עליכם, תהיה, איתה, אשר, עלי, איתכם, כפי, יכלו, עז, יוכל, כש, עצמם, תכלית, כלל, אותם, כאשר, עצמה, או, במידה, יכולה, יכול, אחרי, היה, ככה, מבלי, אתכן, עליה, איתו, עליהם, מאין, איתנו, להיות, לעיכן, אחרת, נגר, כי, סיבה, באיזו, עליו, כיצד, אס, מקום, באמצע, דרך, מצד, הסיבה, אל, מנין, אי, יכל, אחרות, מלבד, מתחת, עם, אני, למקום, יותר, עלינו, היכן, מכיוון, שלך, איפה, הוא, במקום"
te,"అడగండి, కాదు, దూరంగా, ఏదైనా, సంబంధం, ఏమైనప్పటికి, పై, వేరుగా, కనిపిస్తాయి, ఎవరో, వ్యతిరేకంగా, మాత్రమే, అందరూ, అనుమతిస్తుంది, తగిన, గా, అనుగుణంగా, ప్రక్కన, కూడా, అనుమతించు, ఏ, ఎప్పుడు, మెచ్చుకో, మళ్ళీ, ఒకరు, ఉన్నారు, మరియు, అయితే, వెంట, మధ్య, చుట్టూ, వద్ద, ఇప్పటికే, గురించి, అడ్డంగా, అందుబాటులో, అడగడం, ఒక, ఎవరైనా, దాదాపు, ప్రకారం, మరొక, చేయగలిగింది, ఎక్కడైనా, నిజంగా, తర్వాత"
fa,"داریم, سالهای, دهه, بدون, شوند, داشت, ایشان, لذا, باعث, کلی, یابد, همه, بهترین, نیستند, میان, سوم, فردی, فقط, اجرا, را, می‌دهند, مناسب, خوبی, داشته‌باشد, اثر, تعداد, بوده‌است, همیشه, تغییر, اینجا, نظیر, وی, بروز, هستیم, پی, حد, زاده, روی, و, داشته, پنج, داده, کرده, برای, علاوه, کننده, حل, خاص, بعضی, منظور, می‌کند, داشتن, حال, سهم, خیلی, خواهد‌شد, چگونه, سمت, باشد, نسبت, این, کنیم, هر, مثل, هنوز, است, راه, شدند, حالی, باید, همان, می‌یابد, درباره, بندی, یافت, دهد, می‌کردند, ویژه, متاسفانه, چیزی, او, می‌توان, که, نوع, بی, با, موجب, نوعی, براساس, نبود, رسیدن, یکدیگر, طبق, شش, لحاظ, چنین, جریان, شمار, کردم, دور, وارد, می‌رود, هستند, بیشتری, آن, گذاری, اولین, صرف, بیرون, می‌گویند, فوق, دهند, می‌گیرد, مانند, علیه, جایی, روبه, وگو, مشخص, دسته, شما, ندارد, خویش, دار, سایر, اینکه, تعیین, همچون, شروع, ولی, دارای, شدن, اول, آورد, شده‌است, یعنی, نزدیک, امکان, زیرا, آنها, آقای, داشته‌باشند, طول, اگر, اخیر, مواجه, بین, دیگری, داشته‌است, کرده‌بود, سپس, مهم, می‌شد, عالی, جای, کرده‌اند, کمی, بهتر, کرد, برخی, کسی, مربوط, برداری, دوباره, هنگام, خواهد‌بود, کرده‌است, خودش, پیش, کنید, افرادی, گفت, سراسر, کم, چرا, کامل, سی, بیشتر, قبل, بعد, دیگران, قابل, خوب, ریزی, چه, سعی, می‌کنیم, یکی, عین, خطر, تبدیل, یافته, بالا, بزرگ, کدام, خصوص, نخست, اغلب, تو, من, رو, آنان, پیدا, یا, کوچک, متفاوت, نحوه, نیمه, چند, جز, می‌باشد, نظر, دو, رفت, لازم, می‌تواند, گاه, چهارم, چیز, رشد, تحت, آنجا, به, شاید, بر, بلکه, کردند, اند, شده‌اند, در, همچنین, نیز, ساله, شده, شامل, بخشی, آنکه, بوده, گونه, خاطرنشان, ممکن, شود, ساز, بخش, یافته‌است, شده‌بود, نیست, اکنون, البته, شان, کنند, کاملا, حتی, دچار, عدم, گرفته, کند, شخصی, می‌شوند, جدی, پخش, پر, دادند, حداقل, باشند, می‌رسد, نباید, طور, ندارند, فکر, شد, تمامی, جمعی, جا, جمع, باز, روند, گرفت, بود, تهیه, از, اش, سال‌های, می‌گوید, دارند, همچنان, نیاز, مدت, جاری, جدید, می‌دهد, درون, هم, بودن, فرد, سوی, ما, نخستین, ضمن, تاکنون, کردن, افزود, محسوب, دوم, پس, آمده, می, کنندگان, همین, زیر, اما, تمام, گفته, پشت, باره, سه, می‌کنند, آمد, چون, سبب, زیادی, خواهد‌کرد, داد, آمده‌است, یک, گردد, کافی, گیرد, کنار, آیا, سازی, ترتیب, نمی‌شود, وقتی, تا, گیری, طی, آوری, می‌شود, چهار, داشتند, تنها, بسیار, غیر, گروهی, بیش, هایی, ناشی, دیگر, زیاد, نشست, بسیاری, کنم, گرفته‌است, افراد, وجود, نه, داده‌است, بودند, همواره, متر, می‌توانند, کل, بار, خود, روش, می‌آید, رسید, می‌کنم, برابر, می‌کرد, مورد, دارد, آخرین, دادن, کسانی, ع, حالا, علت, حدود, دانست, امر, هیچ, آنچه, بیان, طرف, ابتدا, عهده, بنابراین"
el,"επόμενη, συχνός, άλλοτε, εξής, ότι, πόσος, γι, κάμποση, ος, δικοί, πολλά, ουδέ, τόσες, οποτεδήποτε, αυτός, πάλι, μέσω, τες, ποτέ, τελικώς, έκαστο, πολύ, άλλοι, εκείνην, κάποιες, είθε, τελευταίο, ταύτου, κατά, πριν, πόσες, ιδίας, μόνη, ήσασταν, όποιοι, εύγε, ετούτο, μόνης, ίσια, τούτου, ετέρας, τούτους, ποιός, μόνους, καμίας, πούθε, πρώτο, ετέρου, τέτοιαν, έγινε, εξ, όσων, έπειτα, οποίες, τάχα, είσαι, τούτον, ώσπου, οποιωνδήποτε, τού, ολονέν, συχνών, περισσότερο, αυτής, μεθαύριο, στον, ετούτες, τον, όποιες, υπέρ, δικού, όσου, τουλάχιστον, συχνό, θα, μερικές, πρέπει, όσα, στους, ετούτης, κάποιο, εντωμεταξύ, έξι, εάν, οσωνδήποτε, όσον, αυτά, όποιο, εμπρός, αλλοιώς, άμα, όλου, προτού, που, κανενός, τόσα, συχνή, δεξιά, κανένα, είναι, όποιος, αι, όπου, εφεξής, τέτοιον, προς, όλην, άλλα, όλης, μαζί, ταύτος, έχουν, οποιοδηήποτε, κάποιαν, στων, ω, καμίαν, εαυτό, τόσην, αλλού, συχνάς, τις, λίγο, τόσον, τα, ιδίου, προκειμένου, αρκετές, οι, έκαστης, κτλ, οπότε, πρόπερσι, έτερον, ποιοί, τούτο, έστω, όλα, αναμεταξύ, οσοιδήποτε, πλάι, τόσο, πόσης, εαυτών, μόνοι, ετέρων, έναν, ακόμη, οποίαν, πιθανόν, την, σεις, μόνην, εντός, αφού, εκείνο, έχω, έτερους, τόσους, ολόγυρα, τέτοιος, κιόλας, καθώς, ίσαμε, κάποιοι, ίδιον, οσουσδήποτε, κανένας, ταύτη, πόση, πάντως, αν, ήσαστε, εν, άμεσα, ωστόσο, σας, ωσάν, συχνής, άλλην, έκαστες, μιας, μακάρι, έκανε, όποτε, άλλους, εαυτούς, συχνοί, υπό, κάτι, ετούτους, μερικά, άλλο, ήττον, εγώ, κατόπιν, απόψε, πού, κάποιας, τι, έτσι, μετ, κάπου, του, κατιτί, συχνού, εσάς, αυτές, μάλιστα, υπ, ήτανε, όλον, είχα, ανωτέρω, μείον, έκαστα, εξήσ, οποιουδήποτε, τοι, οποιασδήποτε, πρωτύτερα, τίποτα, για, κάποιον, μία, όσος, ετούτος, τη, ωχ, άξαφνα, ετέρα, έτερη, κανέναν, αντίς, καθενός, όση, μόνων, ίδια, οποιαδήποτε, ιιι, τέτοιου, ώστε, ποιάς, οποίων, οσοσδήποτε, όλες, δηλαδή, ποιά, ίδιος, έξω, οποιδήποτε, πέρι, μπορούν, ούτε, σχεδόν, πόσην, κάμποσους, ποιόν, αντίπερα, μεταξύ, παντού, πέρυσι, τόσου, έως, εσύ, ίδιους, ήμουν, συνεπώς, ετούτων, κακώς, άλλος, κάποιος, εαυτού, μονομιάς, ετούτη, ιδία, δικό, οσονδήποτε, τούτοι, δια, πότε, εις, είσαστε, ναι, τούτοις, και, ίδιες, όλοι, ένα, τόσων, ήταν, έκαστην, όταν, έκαστοι, οσοδήποτε, μπορεί, μιαν, μερικών, πρώτη, κάποιων, πάντα, όλων, αφότου, εκείνοι, ετούτην, κάτω, ταύτες, πόσους, μεμιάς, αντί, καθόλου, τόσης, μήπως, επιπλέον, μακρυά, εσείς, οσεσδήποτε, αυτών, λιγάκι, μόνου, στο, αλλαχού, οποίο, ίδιο, έτεροι, πόσοι, μάλλον, όλο, οποιονδήποτε, καθεμίας, οσηνδήποτε, επί, μόνος, τούτα, εναντίον, ταύτην, δικά, είχε, ίσως, έχοντας, επάνω, συνάμα, ήμασταν, ένας, πολλοί, συχνούς, η, κάνεν, αλλοιώτικα, βεβαιότατα, αυτή, επομένως, ενός, τέτοιες, στου, ταύτα, εκείνα, έγκαιρα, κάμποσων, κάμποσην, ο, άλλες, όσες, το, δικός, οποιουσδήποτε, οπουδήποτε, οποίοι, ακριβώς, αυτό, λοιπά, λοιπόν, έκαστον, μέχρι, προχτές, δι, βέβαια, εκείνον, πώς, συχνόν, δεν, τάχατε, μα, μέλλεται, ξαφνικά, πέρσι, κάμποσες, αλλιώτικα, εχτές, κλπ, έχετε, της, έχουμε, όλος, περί, οποία, κάποιου, ολότελα, τουλάχιστο, πίσω, καθεμία, ταύτης, όποιον, έγιναν, είχαν, οτιδήποτε, πιο, τέτοια, αμέσως, ήσουν, ως, έτερης, πάρα, έκαστη, αρχικά, χωριστά, μια, καλώς, τούς, ταύτων, αυτήν, εκείνες, διόλου, εκείνου, καθένας, όσης, ότου, πρώτος, προ, κακά, έχει, επειδή, όποια, εμάς, είμαι, εκείνος, ποιών, μονάχα, αύριο, ήδη, όσους, με, εκάστους, στις, τρίτη, τους, πρώτες, μερικοί, άλλων, αλλά, τέτοιας, στα, τρία, εκεί, προχθές, οποίους, νωρίς, τέτοιους, όμως, όλη, ακόμα, ορισμένων, έτερο, εγκαίρως, ωσότου, ειδεμή, κυρίως, μόλις, εκτός, τίποτε, πολλούς, ξανά, έχεις, όχι, όλως, κάμποσο, οσησδήποτε, κάθε, ενώ, ετέραι, καθετί, τότε, σαν, οποίος, κάπως, οσαδήποτε, τόσος, ευτυχώς, κάμποσον, τελευταία, αυτοί, αλλιώς, ευθύς, εξίσου, δίχως, οποίου, ίδιαν, ορισμένες, γύρω, οσηδήποτε, κανείς, εαυτόν, απ, κάμποσης, όλους, όσην, εσένα, αυτόν, τόσοι, εκείνης, στη, μας, ορισμένως, τούτη, τρεις, τάδε, μεν, πάνω, ιδίως, τούτων, λόγω, άλλης, πρώτα, εδώ, εκείνους, έκαστος, μπρος, πλην, πουθενά, αυτού, τούτες, ιι, διαρκώς, πολλές, δείνα, είχες, όσοι, δίπλα, κάποια, μου, πως, σου, άλλον, στης, οποιανδήποτε, πλέον, ανά, τώρα, μόνες, τέτοιων, μόνο, αυτούς, περίπου, δικούς, οποιεσδήποτε, ήμαστε, μήτε, εκείνων, όσο, από, πρόκειται, εμένα, τούτην, κατ, εξαιτίας, ήτοι, απέναντι, άνευ, είχαμε, λιγότερο, άλλη, έτερες, τελικά, γρήγορα, ποιού, ποιές, υπόψη, μεσώ, όπως, κοντά, πάντοτε, οποίας, ολωσδιόλου, ποιάν, κάποτε, συγχρόνως, έξαφνα, αρκετά, είτε, ετούτον, ταύτοταύτον, ύστερα, μήδε, κάμποσος, ορισμένα, ετούτα, ας, στην, ίδιοι, γιατί, άρα, τοσ, παρά, ου, άραγε, ίδιοσ, ίδιων, χωρίς, σε, έχομε, εντελώς, συν, είχατε, να, εκάστων, μη, μην, κάποιους, συχνώς, ι, καλά, ποιούς, κάμποσοι, οσουδήποτε, δε, καμία, καθένα, ετούτου, μερικούς, μέλει, τελευταίος, άνω, αδιάκοπα, έτερος, κάμποσα, εμείς, ανάμεσα, τούτης, ετούτοι, τυχόν, εκείνη, πια, εκάστου, συχνές, τόση, είστε, πέρα, μετά, τέτοιοι, μέσα, οποιοσδήποτε, είμαστε, συχνήν, δήθεν, τούτος, των, ποιό, τέτοιο, επίσης, μολονότι, δα, κάμποσου, υπόψιν"
hi,"किन्हें, भी, ने, और, किंहें, होति, जिस, किंहों, वहिं, जिन, कहते, या, इन, जिन्हें, उन, कई, यहां, लिए, कुल, ये, वह, किर, हुए, किसी, इतयादि, वगेरह, हुइ, कोइ, एसे, सबसे, अभी, ना, बही, इन्हों, द्वारा, बहुत, सकते, करना, यहि, तिसे, एवं, उंहें, एक, वहीं, होता, करें, आदि, की, मानो, रहा, करने, यिह, इस, जहां, आप, है, जेसा, होने, उस, किया, उंहिं, भितर, सारा, गया, हुअ, नीचे, बाद, रहे, ओर, दूसरे, तिन्हें, वे, इन्हें, रखें, जा, इसके, जिंहों, बाला, इसी, फिर, किसे, सभि, घर, पहले, जिधर, ऱ्वासा, था, कोन, लेकिन, अंदर, जैसा, वुह, दवारा, होते, अपनि, हे, इसि, सकता, इंहों, थे, हि, तिंहों, काफ़ी, इंहें, दबारा, किसि, इन्हीं, नहिं, तब, अपना, उनके, पुरा, जिंहें, किन्हों, तिन, जेसे, जब, कोनसा, दिया, जिन्हों, थि, यह, किस, इसे, जैसे, व, उनकी, भि, मगर, सो, अभि, कौनसा, उनका, एस, कुछ, होती, उसी, इनका, इसकि, भीतर, हैं, साबुत, उनकि, बनि, रवासा, वाले, थी, संग, इसका, तिन्हों, पूरा, तक, जहाँ, तो, न, तिस, में, निचे, हो, लिये, उन्हों, कोई, नहीं, होना, हुई, अप, वरग, कर, वहाँ, उंहों, बनी, तिंहें, जिसे, बहि, उसि, दुसरा, से, इसकी, जो, पर, बिलकुल, उसके, करते, जितना, वहां, उसे, का, साथ, उन्हीं, तरह, कि, कितना, ऐसे, मे, कौन, निहायत, पे, अपनी, यदि, कइ, दो, के, उनको, हें, इंहिं, वर्ग, अत, जीधर, सभी, इसमें, दुसरे, को, इत्यादि, उन्हें, वग़ैरह, काफि, साभ, ही, करता, हुआ, अदि, कहा, यही, अपने, यहाँ"
ru,"её, которую, таким, емъ, ко, та, всем, своё, которые, и, к, только, себе, могу, кто, ещё, всём, тем, той, своей, вы, по, могут, тех, неё, может, моё, еще, наших, одному, свое, едим, такого, ей, чему, которых, нашим, ему, самими, таких, нас, всю, могли, ним, могла, своего, нашему, ними, у, которыми, моих, будете, которою, нам, чем, ты, этими, чтобы, если, того, такими, теми, быть, наса, такую, вот, моей, ела, но, вами, бы, когда, он, нашем, свою, сама, которому, сами, нём, которым, едят, мы, свои, всея, моею, наша, него, все, своею, о, были, свой, само, меня, этой, самого, могло, том, сам, всё, тебе, нашими, будь, нашей, одних, которое, наш, была, этому, мог, своих, которого, который, в, тебя, будьте, этого, этом, будешь, нами, имъ, ими, я, таком, нашею, своем, будем, нему, как, моём, она, одним, тому, моими, об, всех, эти, этих, то, ее, себя, же, до, так, моего, одними, было, одни, них, одна, чём, ней, чего, вам, саму, одно, своим, всеми, самим, есть, своими, мои, те, ею, мне, ешь, будут, вас, моя, или, своему, кем, моим, собою, кому, этою, самих, этот, всею, вся, не, нашу, которая, мочь, такое, самом, нет, которой, одного, собой, тот, за, да, они, одною, всему, нею, наше, ту, с, что, тобой, могите, ем, своём, им, мое, нем, такому, уже, оно, мой, во, ел, эта, а, это, их, наши, был, ком, этим, всего, такая, мною, от, такою, будучи, нашего, мою, можем, одном, самому, из, томах, ест, будет, одну, моем, оне, тобою, мной, кого, моги, на, моему, такие, одной, его, комья, нее, для, такой, эту, котором, один, при, буду, своя, можешь, весь, можете, тою, всей"
ro,"alte, mulţi, spre, se, e, mulți, unor, deasupra, c, oricât, dau, puțină, ei, voștri, h, voastre, cîți, zi, dată, aiurea, eşti, noi, zice, puțina, între, acolo, a, opt, vor, cît, încît, voştri, niciodata, unui, el, noua, cita, ma, unei, după, voastră, atitea, orice, acestea, cat, al, înainte, mod, şase, unii, intre, sa, nici, toate, x, cel, acelea, carora, pînă, deși, mîine, niște, puţină, ți, k, azi, toată, decit, sunteţi, doilea, cea, oricum, cineva, ni, n, degraba, niste, totuși, nostru, in, iar, zero, parca, fiți, fiţi, asta, nimeni, ţi, cei, rog, aveţi, cîţi, acord, sub, u, altceva, geaba, atatea, sa-mi, exact, inca, aceștia, ăştia, pentru, toți, prima, împotriva, astăzi, fim, apoi, înaintea, cînd, asupra, cum, t, alea, astfel, treia, fata, noroc, mâine, catre, fara, totul, dinaintea, caut, pai, oriunde, că, careia, zece, or, întrucât, suntem, tuturor, alta, vreme, ti, unu, va, așadar, meu, bine, toata, îmi, sîntem, oricînd, mine, ştiu, f, una, nevoie, ai, săi, da, s, mai, pic, fiecare, mulțumesc, am, această, alt, te, să, citi, departe, astazi, nicăieri, nişte, adica, totuşi, sale, nouă, foarte, daca, aia, deci, ale, aţi, halbă, cine, citiva, cîtva, citeva, două, ul, treilea, lîngă, șapte, tine, atare, ție, eu, aceasta, sută, cărei, sînteți, atata, sa-ti, ce, dă, ceva, deoarece, acel, patru, unul, mereu, peste, mie, curînd, abia, alti, ii, acele, vom, altii, acum, ăsta, nimeri, pe, ba, deşi, dupa, face, drept, eram, nimic, oricît, avut, multe, cu, era, asemenea, iti, si, mele, b, oricare, cîte, acela, mea, avea, acești, frumos, lor, tot, fiu, puţin, dintre, datorită, care, puţina, cind, desi, incit, nu, și, cite, o, întrucît, atatia, ţie, despre, atitia, acest, fără, pina, de, aceştia, j, sai, aibă, ar, ați, r, cand, insa, vi, ăștia, mei, ne, z, îi, noastră, totusi, mare, vreo, ăstea, v, încotro, oricine, as, isi, graţie, cumva, fii, vouă, căci, tău, şi, tăi, acei, fel, d, le, i, un, său, ea, poate, acelasi, ceilalti, acestei, unele, când, dacă, oricând, aici, cam, bucur, mă, putini, anume, altfel, șase, tale, contra, acestui, sint, atita, deja, altcineva, alături, ești, timp, la, ati, conform, până, nou, îl, l, cit, ăla, toţi, ci, uneia, grație, căror, vreun, ele, plus, dar, noastre, îți, câţi, intr, multi, tu, printr-, il, aceeasi, patra, multă, vostru, sunteți, mi, celor, ta, uneori, doar, are, sînt, mult, dintr-, acea, multa, fi, sînteţi, fie, atat, bună, este, aceea, inainte, capat, lângă, ia, ala, aceia, cărui, ălea, acesta, altul, fost, chiar, şapte, mulţumesc, în, ori, patrulea, imi, acestia, câți, vă, încât, alaturi, câtva, p, aș, avem, lui, g, unde, au, toti, doi, cui, asa, pot, aveți, aşadar, cele, aceste, atit, caruia, numai, astea, puțin, prin, curând, ceea, dat, ca, m, din, noștri, li, cât, tocmai, spate, cinci, noştri, sintem, către, aş, îţi, trei, ului, prea, aceşti, câte, voi, ieri, sau, undeva, inapoi, nostri, atunci, dintr, unora, sunt, unuia, știu, primul, sus"
no,"se, mer, du, tilbake, skal, før, sitt, fjor, mens, og, kl, mål, siden, mot, gå, ham, politidistrikt, laget, ja, prosent, vil, både, torsdag, står, som, en, man, annet, minutter, løpet, bak, de, poeng, samme, leder, være, sett, bli, vi, hvordan, mennesker, bris, dag, norske, uten, grunn, mye, mandag, noe, neste, sin, sammen, sa, viktig, ikke, gjort, at, kveld, bare, sted, ha, siste, by, gjøre, litt, den, fram, igjen, av, norsk, gjør, disse, vært, han, regjeringen, mannen, om, nye, denne, i, and, landet, tok, usa, ved, fotball, videre, komme, personer, hvorfor, tirsdag, senere, ett, tatt, fredag, fire, selv, rundt, hadde, fikk, første, land, der, onsdag, etter, for, nå, skulle, til, blir, to, også, september, ifølge, inn, store, russland, var, å, utenfor, norge, under, president, la, mener, blant, ligger, eller, tid, kommer, oslo, fortsatt, langt, annen, dette, beste, oss, år, klart, får, viser, allerede, her, sier, gjennom, tror, når, gikk, helt, blitt, satt, gang, ta, må, ser, mange, seg, ny, slik, kamp, funnet, bedre, gi, da, kan, hva, saken, vår, nok, ntb, plass, alt, dem, noen, henne, menn, ut, del, veldig, går, hun, fem, søndag, kunne, mellom, msci, stedet, seks, fra, men, gjorde, flere, opplyser, hvor, tre, få, det, skriver, alle, millioner, har, politiet, så, sverige, svært, hans, runde, kampen, kontakt, folk, kom, ingen, først, kroner, ville, tyskland, vant, mars, hele, ned, med, ble, god, ønsker, et, opp, stor, enn, samtidig, andre, måtte, kort, meg, kvinner, hennes, like, jeg, over, på, er, tillegg, lørdag, tidligere, fått, frankrike, dermed, sine, drept, godt"
fr,"sait, peux, ayant, s', deux, unique, ceux, es, maint, lès, ouste, parfois, restrictif, cet, concernant, a, laquelle, ma, bien, cependant, d’, quinze, semble, lors, oust, vous-mêmes, puisque, différente, dix-sept, beau, nouveau, huit, quelconque, cinquantième, eh, après, deuxièmement, lui-même, clac, toutes, â, ni, votre, apres, on, hi, etais, troisièmement, hui, que, pense, juste, mien, bas, tenir, mêmes, extenso, leur, sent, meme, m’, elle-même, cinq, naturel, moindres, anterieures, chaque, telle, certain, celles-ci, vous, dehors, ait, est, rien, quant, miennes, cela, possible, suit, suivante, quiconque, hum, tiens, tien, boum, comparables, permet, flac, specifiques, certains, nos, pff, sien, lesquels, oh, ai, ollé, entre, aux, chut, soixante, passé, malgre, troisième, diverse, te, nôtres, selon, ont, encore, tente, chers, zut, quatre, jusqu, lequel, tous, moi, pire, comme, mille, precisement, eu, font, vos, ce, me, hop, sauf, vingt, l', chères, holà, moyennant, trente, possessif, sont, moi-même, neuvième, relative, pif, partant, ils, être, autrefois, differents, si, paf, debout, doit, d', hé, anterieure, toi, cent, aujourd'hui, desormais, seront, sacrebleu, huitième, different, en, aussi, premier, strictement, diverses, rarement, à, premièrement, quoique, suivant, suivantes, surtout, ne, hurrah, étant, derrière, donc, ceux-ci, pure, durant, vers, première, cette, as, malgré, quelques, pu, effet, vais, importe, relativement, nul, basee, ceci, seraient, i, où, procedant, fait, laisser, autrui, trois, ohé, les, etre, quand, abord, houp, pouah, necessaire, ou, bat, differentes, soi-même, non, chacune, seize, naturelle, celui-ci, devant, depuis, dit, celles, rend, parce, uns, afin, pouvait, une, desquelles, soit, miens, t’, avait, parseme, tres, notamment, siennes, auxquels, seulement, ta, ailleurs, tout, dits, fi, pourquoi, nombreuses, suis, certes, quoi, mienne, possibles, beaucoup, semblent, avec, devers, dont, probante, minimale, désormais, particulière, tel, parmi, douzième, na, lui, etait, vifs, etaient, pourrait, près, ça, chère, avoir, particulièrement, delà, et, via, hors, très, revoilà, vôtres, jusque, attendu, celui-là, mince, vont, elles-mêmes, vôtre, treize, envers, particulier, possessifs, toute, allo, nous-mêmes, tic, se, différents, merci, celles-là, auraient, quarante, bah, ouvert, seule, ouias, j', auquel, ainsi, fais, plutôt, pres, stop, quatrième, deuxième, nous, las, pendant, ouverte, l’, celle-ci, tiennes, chiche, suivants, sa, combien, ha, là, des, olé, trop, dès, sein, revoici, devra, directe, etant, ouverts, dix-huit, façon, specifique, faisaient, floc, septième, derniere, vives, ses, suffisante, speculatif, celle-là, crac, excepté, je, dix, enfin, quant-à-soi, quatre-vingt, proche, uniques, sur, autre, aupres, clic, voilà, dix-neuf, probable, assez, plusieurs, dedans, même, vif, sixième, ore, toujours, touchant, etc, six, ô, vivat, qu', pour, va, dans, seul, alors, n', rare, dessous, restent, directement, différent, sienne, dring, avons, certaines, da, suivre, peut, chez, sapristi, mon, naturelles, était, celle, peu, avaient, pfft, lesquelles, egalement, autrement, parle, hue, outre, vu, brrr, tellement, superpose, maintenant, necessairement, voici, egale, leurs, hélas, hep, quelque, toi-même, ho, hein, suffisant, euh, aucun, eux-mêmes, onzième, semblable, dite, subtiles, qui, quelqu'un, gens, nombreux, semblaient, étaient, memes, sous, quanta, moi-meme, du, bigre, hem, serait, absolument, t', unes, allô, ouf, o, quels, tend, psitt, tenant, tsouin, personne, chacun, allaient, quatorze, lorsque, aurait, dessus, de, prealable, étais, s’, tels, quelle, son, j’, mes, elle, tardive, dernier, retour, elles, environ, puis, desquels, derriere, cher, pan, uniformement, tes, le, parlent, un, m', été, comment, dire, ton, hou, eux, cinquantaine, rendre, duquel, auxquelles, ah, par, plein, anterieur, vlan, différentes, telles, bravo, tsoin, divers, allons, couic, qu’, deja, lui-meme, restant, la, feront, té, moins, ci, cinquième, soi, ces, comparable, plus, contre, notre, exterieur, tu, tienne, il, auront, avais, vive, reste, parler, remarquable, plouf, aujourd, vas, mais, car, aie, longtemps, quel, pas, neanmoins, rares, sans, doivent, maximale, aucune, sinon, sera, pourrais, egales, vé, nôtre, quelles, certaine, pfut, toutefois, tant, avant, au, sept, cinquante, siens, n’, c', autres, ès, tac, hormis, neuf, douze, c’, celui, toc, exactement, compris, pur, faisant, suffit, quatrièmement, néanmoins, dixième, peuvent, aura, onze, ceux-là, souvent"
