en,af,am,ar,be,bn,bg,my,ca,km,zh,hr,cs,da,nl,et,fi,fr,ka,de,el,ha,he,hi,hu,is,id,ga,it,ja,kk,ko,ku,lv,la,lt,mk,mg,ms,ml,mr,no,fa,pl,pt,ro,ru,sr,sd,si,es,sw,sv,ta,te,th,tr,uk,ur,uz,vi
The cat stretched.,Die kat rek.,ድመቷ ተዘረጋች።,القطة ممتدة.,Кот пацягнуўся.,বিড়াল প্রসারিত.,Котката се протегна.,ကြောင်က ဆန့်တယ်။,El gat es va estirar.,ឆ្មាលាតសន្ធឹង។,猫伸了个懒腰。,Mačka se protegnula.,Kočka se protáhla.,Katten strakte sig.,De kat rekte zich uit.,Kass venitas.,Kissa venytteli.,Le chat s&#39;est étiré.,კატა დაიჭიმა.,Die Katze streckte sich.,Η γάτα τεντώθηκε.,Katon ya mike.,החתול נמתח.,बिल्ली ने अपना पैर आगे बढ़ाया।,A macska nyújtózkodott.,Kötturinn teygði sig.,Kucing itu meregangkan tubuhnya.,Shín an cat.,Il gatto si stirò.,猫は伸びをしました。,Мысық созылды.,고양이가 몸을 쭉 뻗었다.,Pisîk dirêj kir.,Kaķis izstaipījās.,Catus extendit.,Katė išsitempė.,Мачката се истегна.,Nitsotra ilay saka.,Kucing itu memanjang.,പൂച്ച നീട്ടി.,मांजर ताणले.,Katten strakk seg.,گربه دراز کشید.,Kot się przeciągnął.,O gato se espreguiçou.,Pisica se întinse.,Кот потянулся.,Мачка се протегнула.,ٻلي ڊگھي ڪئي.,බළලා දිගු කළේය.,El gato se estiró.,Paka alinyoosha.,Katten sträckte sig.,பூனை நீட்டியது.,పిల్లి సాగదీసింది.,แมวยืดตัว,Kedi esnedi.,Кіт потягнувся.,بلی نے دراز کیا۔,Mushuk cho&#39;zildi.,Con mèo duỗi người.
Jacob stood on his tiptoes.,Jakob staan op sy tone.,ያዕቆብ በእግሩ ላይ ቆመ።,وقف يعقوب على أطراف أصابع قدميه.,Якуб стаў на дыбачкі.,জ্যাকব তার টিপটো উপর দাঁড়িয়ে.,Джейкъб се изправи на пръсти.,ယာကုပ်သည် ခြေဖျားထောက်၍ ရပ်နေ၏။,Jacob es va posar de puntes.,យ៉ាកុប​ឈរ​នៅ​លើ​ម្រាម​ជើង។,雅各布踮起脚尖。,Jacob je stao na vrhove prstiju.,Jacob se postavil na špičky.,Jakob stod på tæerne.,Jacob stond op zijn tenen.,Jacob seisis kikivarvul.,Jacob seisoi varpaillaan.,Jacob se tenait sur la pointe des pieds.,იაკობი ფეხის წვერებზე იდგა.,Jacob stand auf seinen Zehenspitzen.,Ο Τζέικομπ στάθηκε στις μύτες των ποδιών του.,Yakubu ya tsaya a kan kafafunsa.,יעקב עמד על קצות אצבעותיו.,जैकब अपने पंजों पर खड़ा था।,Jacob lábujjhegyre állt.,Jakob stóð á tánum.,Yakub berdiri berjinjit.,Sheas Jacob ar a leideanna.,Giacobbe si alzò in punta di piedi.,ジェイコブはつま先立ちをした。,Джейкоб аяғының ұшымен тұрды.,제이콥은 발끝으로 섰습니다.,Aqûb li ser tiliyên xwe rawesta.,Jēkabs stāvēja uz pirkstgaliem.,Iacob stabat in digitis suis.,Jokūbas atsistojo ant pirštų galiukų.,Јаков застана на прстите.,Ary Jakoba nitsangana teo an-tongony.,Yakub berdiri di atas hujung kaki.,ജേക്കബ് തൻറെ കാൽവിരലിൽ നിന്നു.,जाकोब त्याच्या पायावर उभा राहिला.,Jakob sto på tærne.,یعقوب روی نوک پاهایش ایستاد.,Jakub stanął na palcach.,Jacob ficou na ponta dos pés.,Jacob stătea în vârful picioarelor.,Джейкоб встал на цыпочки.,Јаков је стајао на прстима.,جيڪب پنهنجي پيرن تي بيٺو هو.,යාකොබ් ඔහුගේ දෙපා මත සිටගෙන සිටියේය.,Jacob se puso de puntillas.,Jacob alisimama kwa vidole vyake.,Jacob stod på tå.,ஜேக்கப் தன் நுனிக்கால்களில் நின்றான்.,జాకబ్ తన కాళ్ళపై నిలబడ్డాడు.,จาค็อบยืนเขย่งเท้า,Yakup ayak uçlarına kalktı.,Джейкоб став навшпиньки.,جیکب اپنے سروں پر کھڑا تھا۔,Yoqub oyoq uchida turdi.,Jacob đứng trên đầu ngón chân.
The car turned the corner.,Die kar het die draai gedraai.,መኪናው ጥግ ዞረ።,انعطفت السيارة عند الزاوية.,Машына завярнула за вугал.,গাড়ি মোড় ঘুরল।,Колата зави зад ъгъла.,ကားက ထောင့်ကို လှည့်သွားတယ်။,El cotxe va girar a la cantonada.,រថយន្តបានបត់ជ្រុង។,汽车拐了弯。,Auto je skrenuo iza ugla.,Auto zahnulo za roh.,Bilen drejede om hjørnet.,De auto kwam om de hoek.,Auto keeras kurvi.,Auto kääntyi nurkkaan.,La voiture a tourné au coin de la rue.,მანქანამ შემობრუნდა.,Das Auto bog um die Ecke.,Το αυτοκίνητο γύρισε στη γωνία.,Motar ta juya gefe.,המכונית פנתה לפינה.,कार मोड़ पर मुड़ गई।,Az autó befordult a sarkon.,Bíllinn beygði beygjuna.,Mobil itu berbelok di tikungan.,Chas an carr an cúinne.,L&#39;auto svoltò l&#39;angolo.,車は角を曲がった。,Көлік бұрышқа бұрылды.,차가 모퉁이를 돌았습니다.,Erebe li quncikê zivirî.,Mašīna pagriezās ap stūri.,Raeda convertit angulum.,Mašina pasuko į kampą.,Автомобилот сврте во свиокот.,Nihodina ny fiara.,Kereta itu membelok ke selekoh.,കാർ വളവു തിരിഞ്ഞു.,गाडीने कोपरा वळवला.,Bilen snudde hjørnet.,ماشین پیچید.,Samochód skręcił za róg.,O carro dobrou a esquina.,Mașina a dat colțul.,Машина выехала за угол.,Ауто је скренуо иза угла.,ڪار موڙي کنيو.,කාර් එක කොන හැරෙව්වා.,El coche dobló la esquina.,Gari likakata kona.,Bilen svängde av hörnet.,கார் திரும்பியது.,కారు మలుపు తిరిగింది.,รถเลี้ยวโค้งแล้ว,Araba köşeyi döndü.,Машина повернула за ріг.,گاڑی نے کونے کا رخ کیا۔,Mashina burchakni burdi.,Chiếc xe rẽ vào góc đường.
Kelly twirled in circles.,Kelly draai in sirkels.,ኬሊ በክበቦች ውስጥ ትዞራለች።,دارت كيلي في دوائر.,Кэлі круцілася кругамі.,কেলি চক্রাকারে ঘুরছে।,Кели се въртеше в кръг.,ကယ်လီသည် စက်ဝိုင်းထဲ လှည့်ပတ်သွားသည်။,Kelly va girar en cercles.,Kelly បង្វិលជារង្វង់។,凯莉不停地旋转。,Kelly se vrtjela u krug.,Kelly se točila v kruzích.,Kelly snoede sig i cirkler.,Kelly draaide rondjes.,Kelly keerles ringi.,Kelly pyöri ympyröissä.,Kelly tournait en rond.,კელი წრეებში ტრიალებდა.,Kelly wirbelte im Kreis.,Η Κέλι στριφογύριζε σε κύκλους.,Kelly ya juya cikin da&#39;ira.,קלי הסתובבה במעגלים.,केली गोल-गोल घूमने लगी।,Kelly körbe forgott.,Kelly snérist í hringi.,Kelly berputar-putar.,Chuaigh Kelly i gciorcail.,Kelly si voltò su se stessa.,ケリーはくるくると回転した。,Келли дөңгелене айналды.,켈리는 빙글빙글 돌았다.,Kelly di nav çemberan de zivirî.,Kellija griezās riņķos.,Kelly versabat in gyros.,Kelly sukosi ratais.,Кели се вртеше во кругови.,Nihodina boribory i Kelly.,Kelly berpusing dalam bulatan.,കെല്ലി വട്ടത്തിൽ കറങ്ങി.,केली वर्तुळात फिरली.,Kelly snurret seg i sirkler.,کلی دایره ای چرخید.,Kelly kręciła się w kółko.,Kelly girou em círculos.,Kelly se răsuci în cercuri.,Келли кружилась.,Кели се вртела у круг.,ڪيلي حلقن ۾ گھمڻ لڳي.,කෙලී රවුම් කරකැවීය.,Kelly giró en círculos.,Kelly alijizungusha kwenye miduara.,Kelly snurrade i cirklar.,கெல்லி வட்டங்களில் சுழன்றார்.,కెల్లీ సర్కిల్‌లలో తిరుగుతుంది.,เคลลี่หมุนเป็นวงกลม,Kelly daireler çizerek döndü.,Келлі закрутилася колами.,کیلی حلقوں میں گھوم گئی۔,Kelli aylana bo&#39;ylab aylana boshladi.,Kelly xoay tròn.
She opened the door.,Sy het die deur oopgemaak.,በሩን ከፈተች።,فتحت الباب.,Яна адчыніла дзверы.,সে দরজা খুলে দিল।,Тя отвори вратата.,သူမ တံခါးကို ဖွင့်လိုက်သည်။,Ella va obrir la porta.,នាងបានបើកទ្វារ។,她打开了门。,Otvorila je vrata.,Otevřela dveře.,Hun åbnede døren.,Ze deed de deur open.,Ta avas ukse.,Hän avasi oven.,Elle a ouvert la porte.,მან კარი გააღო.,Sie öffnete die Tür.,Άνοιξε την πόρτα.,Ta bude kofar.,היא פתחה את הדלת.,उसने दरवाज़ा खोला.,Kinyitotta az ajtót.,Hún opnaði hurðina.,Dia membuka pintu.,D’oscail sí an doras.,Aprì la porta.,彼女はドアを開けた。,Ол есікті ашты.,그녀는 문을 열었다.,Wê derî vekir.,Viņa atvēra durvis.,ianuam aperuit.,Ji atidarė duris.,Таа ја отвори вратата.,Nosokafany ny varavarana.,Dia membuka pintu.,അവൾ വാതിൽ തുറന്നു.,तिने दरवाजा उघडला.,Hun åpnet døren.,او در را باز کرد.,Otworzyła drzwi.,Ela abriu a porta.,Ea a deschis ușa.,Она открыла дверь.,Она је отворила врата.,هن دروازو کوليو.,ඇය දොර ඇරියාය.,Ella abrió la puerta.,Alifungua mlango.,Hon öppnade dörren.,கதவை திறந்தாள்.,ఆమె తలుపు తెరిచింది.,เธอก็เปิดประตู,Kapıyı açtı.,Вона відчинила двері.,اس نے دروازہ کھولا۔,U eshikni ochdi.,Cô ấy mở cửa.
Aaron made a picture.,Aaron het &#39;n foto gemaak.,አሮን ሥዕል ሠራ።,لقد صنع آرون صورة.,Аарон зрабіў карціну.,হারুন একটি ছবি করেছেন।,Арън направи снимка.,Aaron က ဓါတ်ပုံရိုက်တယ်။,L&#39;Aaron va fer una foto.,Aaron បានបង្កើតរូបភាពមួយ។,亚伦画了一幅画。,Aaron je napravio sliku.,Aaron udělal obrázek.,Aaron lavede et billede.,Aaron maakte een tekening.,Aaron tegi pildi.,Aaron teki kuvan.,Aaron a fait une photo.,აარონმა სურათი გადაიღო.,Aaron hat ein Bild gemacht.,Ο Άαρον έκανε μια φωτογραφία.,Haruna ya yi hoto.,אהרון צילם תמונה.,एरन ने एक चित्र बनाया।,Aaron készített egy képet.,Aron gerði mynd.,Aaron membuat sebuah gambar.,Rinne Aaron pictiúr.,Aaron ha fatto un disegno.,アーロンは絵を描きました。,Аарон сурет салды.,에런은 그림을 그렸습니다.,Harûn wêneyek çêkir.,Ārons uztaisīja bildi.,Aaron imaginem fecit.,Aronas padarė nuotrauką.,Арон направи слика.,Nanao sary i Arona.,Aaron membuat gambar.,ആരോൺ ഒരു ചിത്രം ചെയ്തു.,आरोनने एक चित्र काढले.,Aaron laget et bilde.,هارون عکسی درست کرد.,Aaron zrobił zdjęcie.,Aaron fez uma foto.,Aaron a făcut o poză.,Аарон сделал фотографию.,Арон је направио слику.,هارون هڪ تصوير ٺاهي.,ආරොන් පින්තූරයක් හැදුවා.,Aaron hizo una imagen.,Aaron alitengeneza picha.,Aaron tog en bild.,ஆரோன் ஒரு படத்தை உருவாக்கினார்.,ఆరోన్ ఒక చిత్రాన్ని రూపొందించారు.,อาโรนทำรูปขึ้นมา,Aaron bir resim yaptı.,Аарон зробив малюнок.,ہارون نے تصویر بنائی۔,Aaron suratga tushdi.,Aaron đã vẽ một bức tranh.
I'm sorry.,Ek is jammer.,አዝናለሁ።,أنا آسف.,мне шкада.,আমি দুঃখিত,съжалявам,တောင်းပန်ပါတယ်။,ho sento.,ខ្ញុំសុំទោស។,对不起。,žao mi je,omlouvám se.,Jeg er ked af det.,Het spijt me.,vabandust.,Olen pahoillani.,Je suis désolé.,ვწუხვარ.,Es tut mir Leid.,λυπάμαι.,Na tuba.,אני מצטער.,मुझे माफ़ करें।,sajnálom.,Fyrirgefðu.,Saya minta maaf.,Tá brón orm.,Mi dispiace.,ごめんなさい。,Кешіріңіз.,죄송합니다.,Bibûre.,Es atvainojos.,Doleo.,atsiprašau.,Жал ми е.,Miala tsiny aho.,saya minta maaf.,എന്നോട് ക്ഷമിക്കൂ.,मला माफ करा.,Jeg beklager.,متاسفم,Przepraszam.,Desculpe.,Îmi pare rău.,Мне жаль.,жао ми је.,مون کي افسوس آهي.,මට කණගාටුයි.,Lo lamento.,samahani.,Jag är ledsen.,மன்னிக்கவும்.,నన్ను క్షమించండి.,ฉันเสียใจ.,Üzgünüm.,мені шкода,مجھے افسوس ہے,Uzr so&#39;rayman.,Tôi xin lỗi.
I danced.,Ek het gedans.,ዳንኩኝ።,لقد رقصت.,Я танцаваў.,আমি নাচলাম।,Аз танцувах.,ကတယ်။,Vaig ballar.,ខ្ញុំបានរាំ។,我跳舞了。,plesala sam.,tančil jsem.,Jeg dansede.,Ik danste.,ma tantsisin.,minä tanssin.,J&#39;ai dansé.,ვცეკვავდი.,Ich habe getanzt.,χόρεψα.,Na yi rawa,רקדתי.,मैंने नृत्य किया।,táncoltam.,Ég dansaði.,Saya menari.,rinne mé rince.,Ho ballato.,私は踊りました。,мен биледім.,나는 춤을 췄어요.,Min dans kir.,es dejoju.,saltavi.,aš šokau.,танцував.,Nandihy aho.,saya menari.,ഞാൻ നൃത്തം ചെയ്തു.,मी नाचलो.,Jeg danset.,من رقصیدم,Tańczyłem.,Eu dancei.,am dansat.,Я танцевала.,плесао сам.,مون ناچ ڪيو.,මම නැටුවා.,Yo bailé.,Nilicheza.,Jag dansade.,நான் நடனமாடினேன்.,నేను డ్యాన్స్ చేశాను.,ฉันเต้น,Dans ettim.,Я танцював.,میں نے رقص کیا۔,Men raqsga tushdim.,Tôi đã nhảy.
Run!,Hardloop!,ሩጡ!,يجري!,Бяжы!,দৌড়!,Бягай!,ပြေး!,Corre!,រត់!,跑步！,Trčanje!,Běh!,Løbe!,Loop!,Jookse!,Juokse!,Courir!,გაიქეცი!,Laufen!,Τρέξιμο!,Gudu!,לָרוּץ!,दौड़ना!,Fut!,Hlaupa!,Berlari!,Rith!,Correre!,走る！,Жүгір!,달리다!,Rev!,Skrien!,Currite!,Bėk!,Бегај!,mihazakazaka!,Lari!,ഓടുക!,धावा!,Løp!,فرار کن,Uruchomić!,Correr!,Fugi!,Бегать!,Трчи!,ڊوڙو!,දුවන්න!,¡Correr!,Kimbia!,Sikt!,ஓடு!,పరుగు!,วิ่ง!,Koşmak!,біжи!,دوڑو!,Yugur!,Chạy!
Open the jar carefully.,Maak die fles versigtig oop.,ማሰሮውን በጥንቃቄ ይክፈቱ።,افتح الجرة بعناية.,Асцярожна адкрыйце банку.,সাবধানে জার খুলুন।,Отворете буркана внимателно.,ဗူးကို သေချာဖွင့်ပါ။,Obriu el pot amb cura.,បើកពាងដោយប្រុងប្រយ័ត្ន។,小心地打开罐子。,Pažljivo otvorite staklenku.,Sklenici opatrně otevřete.,Åbn krukken forsigtigt.,Open de pot voorzichtig.,Avage purk ettevaatlikult.,Avaa purkki varovasti.,Ouvrez le pot avec précaution.,ფრთხილად გახსენით ქილა.,Öffnen Sie das Glas vorsichtig.,Ανοίξτε προσεκτικά το βάζο.,Bude kwalban a hankali.,פתח את הצנצנת בזהירות.,जार को ध्यान से खोलें.,Óvatosan nyissa ki az edényt.,Opnaðu krukkuna varlega.,Buka toples itu dengan hati-hati.,Oscail an próca go cúramach.,Aprire il barattolo con cautela.,瓶を慎重に開けてください。,Құмыраны мұқият ашыңыз.,병을 조심해서 여세요.,Kulîlkê bi baldarî vekin.,Uzmanīgi atveriet burku.,Amphoram diligenter aperi.,Atsargiai atidarykite stiklainį.,Отворете ја теглата внимателно.,Sokafy tsara ny siny.,Buka balang dengan berhati-hati.,പാത്രം ശ്രദ്ധാപൂർവ്വം തുറക്കുക.,जार काळजीपूर्वक उघडा.,Åpne glasset forsiktig.,در شیشه را با دقت باز کنید.,Ostrożnie otwórz słoik.,Abra o frasco com cuidado.,Deschide borcanul cu grijă.,Осторожно откройте банку.,Пажљиво отворите теглу.,برتن کي احتياط سان کوليو.,ප්රවේශමෙන් භාජනය විවෘත කරන්න.,Abra el frasco con cuidado.,Fungua jar kwa uangalifu.,Öppna burken försiktigt.,ஜாடியை கவனமாக திறக்கவும்.,కూజాను జాగ్రత్తగా తెరవండి.,เปิดขวดอย่างระมัดระวัง,Kavanozu dikkatlice açın.,Обережно відкрийте банку.,جار کو احتیاط سے کھولیں۔,Idishni ehtiyotkorlik bilan oching.,Mở lọ cẩn thận.
